"","Symbol","Price/Book Ratio","CurrentRatio","NetCurrentRatio","P.E.Ratio","Ask","BookPrice","Beta","Name","Trade.Time","Market.Capitalization","Earnings.Share","Price.Book","Shares.Outstanding","Currency","date","cash","shortTermInvestments","netReceivables","inventory","otherCurrentAssets","totalCurrentAssets","longTermInvestments","propertyPlantEquipment","otherAssets","totalAssets","accountsPayable","shortLongTermDebt","otherCurrentLiab","longTermDebt","otherLiab","totalCurrentLiabilities","totalLiab","commonStock","retainedEarnings","treasuryStock","otherStockholderEquity","totalStockholderEquity","netTangibleAssets","goodWill","intangibleAssets","deferredLongTermAssetCharges","capitalSurplus","deferredLongTermLiab","minorityInterest","X.ticker."
"1","AAPL",54.1738951739817,0.879356028626723,0.448237735986467,29.406778,0,3.20264953750141,1.05698661256568,"Apple Inc.","2023-05-08 16:00:04",2745099616256,5.9,54.594086,15821899776,"USD","2022-09-24",23646000000,24658000000,60932000000,4946000000,21223000000,135405000000,120805000000,52534000000,44011000000,352755000000,64115000000,11128000000,67094000000,98959000000,38394000000,153982000000,302083000000,64849000000,-3068000000,-11109000000,-11109000000,50672000000,50672000000,NA,NA,NA,NA,NA,NA,"AAPL"
"2","MSFT",26.1623776248062,1.78460697082518,0.855702024226165,33.439873,0,11.7974743364425,1.0434772554978,"Microsoft Corporation","2023-05-08 16:00:04",2294963765248,9.23,11.790435,7435489792,"USD","2022-06-30",13931000000,90818000000,44261000000,3742000000,16932000000,169684000000,6891000000,87546000000,21897000000,364840000000,19000000000,2749000000,59384000000,47032000000,30853000000,95082000000,198298000000,86939000000,84281000000,-4678000000,-4678000000,166542000000,87720000000,67524000000,11298000000,13515000000,NA,NA,NA,"MSFT"
"3","AMZN",9.07468105112905,0.944643581113692,0.463601278455747,246.11627,0,11.6621182904418,1.11007777022413,"Amazon.com, Inc.","2023-05-08 16:00:03",1085858185216,0.43,7.0253587,10260400128,"USD","2022-12-31",53888000000,16138000000,42002000000,34405000000,358000000,146791000000,2815000000,252838000000,33846000000,462675000000,79600000000,3265000000,19927000000,73850000000,14421000000,155393000000,316632000000,108000000,83193000000,-12324000000,-4487000000,146043000000,119658000000,20288000000,6097000000,NA,75066000000,NA,NA,"AMZN"
"4","NVDA",44.8532825734754,3.51561785768703,1.20921335359782,166.57715,0,6.49918994660068,1.49584032945159,"NVIDIA Corporation","2023-05-08 16:00:04",720029745152,1.75,32.52734,2470000128,"USD","2023-01-29",3389000000,9907000000,3827000000,5159000000,NA,23073000000,299000000,4845000000,6917000000,41182000000,1193000000,1250000000,3414000000,9703000000,1913000000,6563000000,19081000000,2000000,10171000000,-43000000,-43000000,22101000000,16053000000,4372000000,1676000000,3396000000,11971000000,NA,NA,"NVDA"
"5","GOOGL",6.09606671921813,2.37799422799423,1.5102181085044,23.895784,0,37.8892430104806,1.00893116797944,"Alphabet Inc.","2023-05-08 16:00:03",1372224618496,4.51,5.2552786,5941000192,"USD","2022-12-31",21879000000,91883000000,40258000000,2670000000,8105000000,164795000000,30492000000,127049000000,11884000000,365264000000,5128000000,NA,28022000000,12857000000,12618000000,69300000000,109120000000,68184000000,195563000000,-7603000000,-7603000000,256144000000,225100000000,28960000000,2084000000,5261000000,NA,NA,NA,"GOOGL"
"6","BRK-B",1.96755246201637,3.25475984768487,0.434830656107388,-1,326.38,280.207067879077,0.778817390482567,"Berkshire Hathaway Inc. New","2023-05-08 16:03:02",715720818688,-10.36,0.0010081694,1298189952,"USD","2022-12-31",35811000000,92774000000,48301000000,25366000000,1177000000,203429000000,361971000000,201940000000,72514000000,948452000000,44635000000,12962000000,1193000000,107353000000,294324000000,62502000000,467835000000,8000000,511602000000,-74417000000,-6591000000,472360000000,363762000000,78119000000,30479000000,NA,35167000000,13670000000,8257000000,"BRK-B"
"7","GOOG",6.08548255331853,2.37799422799423,1.5102181085044,23.999998,0,38.3214172463639,1.00745238543362,"Alphabet Inc.","2023-05-08 16:00:03",1369842122752,4.51,5.278198,5873999872,"USD","2022-12-31",21879000000,91883000000,40258000000,2670000000,8105000000,164795000000,30492000000,127049000000,11884000000,365264000000,5128000000,NA,28022000000,12857000000,12618000000,69300000000,109120000000,68184000000,195563000000,-7603000000,-7603000000,256144000000,225100000000,28960000000,2084000000,5261000000,NA,NA,NA,"GOOG"
"8","META",5.72010385869295,2.2033967290757,0.992251807911487,29.753826,0,47.2436314192536,1.22336894383853,"Meta Platforms, Inc.","2023-05-08 16:00:04",597808054272,7.84,4.7964387,2212150016,"USD","2022-12-31",14681000000,26057000000,13466000000,NA,294000000,59549000000,6201000000,92191000000,6583000000,185727000000,4990000000,NA,15949000000,9923000000,7206000000,27026000000,60014000000,NA,64799000000,-3530000000,-3530000000,125713000000,104510000000,20306000000,897000000,NA,64444000000,NA,NA,"META"
"9","UNH",-13.4243918628678,0.728195703575871,0.407773691938905,22.545538,493.19,-36.6958883842505,0.927676987607074,"UnitedHealth Group Incorporated","2023-05-08 16:00:01",458926260224,21.85,5.4129305,931603008,"USD","2022-12-31",23365000000,4546000000,30450000000,NA,NA,64982000000,42128000000,5923000000,20714000000,245705000000,56771000000,2310000000,28359000000,54513000000,11775000000,89237000000,159358000000,9000000,86156000000,-8393000000,-8393000000,77772000000,-34186000000,93352000000,18606000000,NA,NA,NA,8575000000,"UNH"
"10","TSLA",12.2923209817812,1.53195552061103,1.12285949506037,47.587257,0,13.9753908634288,1.39709161643026,"Tesla, Inc.","2023-05-08 16:00:04",544488357888,3.61,11.328805,3169499904,"USD","2022-12-31",16253000000,5932000000,3116000000,12839000000,294000000,40917000000,NA,36635000000,4377000000,82338000000,15255000000,1016000000,5694000000,1029000000,5970000000,26709000000,36440000000,3000000,12885000000,-361000000,-361000000,44704000000,44295000000,194000000,215000000,NA,32177000000,NA,1194000000,"TSLA"
"11","XOM",2.26164568337187,1.41401984213194,0.586041514100148,7.3872714,109.18,48.2436302034152,0.931788307484819,"Exxon Mobil Corporation","2023-05-08 16:03:01",441131728896,14.77,2.2202551,4043000064,"USD","2022-12-31",29640000000,NA,41749000000,24435000000,1807000000,97631000000,34800000000,211143000000,25493000000,369067000000,33169000000,112000000,29741000000,39170000000,52797000000,69045000000,166594000000,15752000000,432860000000,-253563000000,-13270000000,195049000000,195049000000,NA,NA,3825000000,NA,NA,7424000000,"XOM"
"12","JNJ",-25.1790743839542,0.990896383642163,0.500063306021307,34.027252,162.88,-6.44622569606677,0.552766565869149,"Johnson & Johnson","2023-05-08 16:00:01",421799854080,4.77,5.950871,2598729984,"USD","2023-01-01",14127000000,9392000000,16160000000,12483000000,NA,55294000000,1274000000,20903000000,16351000000,187378000000,11703000000,1551000000,2127000000,26888000000,26584000000,55802000000,110574000000,3120000000,128345000000,-54661000000,-12967000000,76804000000,-16752000000,45231000000,48325000000,9123000000,NA,NA,NA,"JNJ"
"13","JPM",1.88905166425519,0.519681734164724,0.474897959365165,10.108407,137.06,72.5602201714469,1.41273985426385,"JP Morgan Chase & Co.","2023-05-08 16:00:02",400558292992,13.56,1.4529979,2922289920,"USD","2022-12-31",540525000000,315501000000,NA,157000000,292044000000,1602026000000,644385000000,40036000000,1318437000000,3665743000000,2417363000000,32163000000,126835000000,276312000000,7782000000,3082706000000,3373411000000,4105000000,296456000000,-124677000000,-17341000000,264928000000,212042000000,51662000000,9197000000,NA,89044000000,NA,NA,"JPM"
"14","V",-43.4813607981405,1.44847264182612,0.605068108974359,31.00534,232.31,-6.91253338779581,1.00718758334743,"Visa Inc.","2023-05-08 16:00:02",486382501888,7.49,12.983898,1618220032,"USD","2022-09-30",15689000000,2833000000,4142000000,NA,6057000000,30205000000,2136000000,2112000000,6605000000,85501000000,340000000,2250000000,13987000000,20522000000,8123000000,20853000000,49920000000,19545000000,16116000000,-2404000000,-2404000000,33257000000,-11186000000,17787000000,26656000000,87000000,NA,NA,NA,"V"
"15","PG",-20.7586590125333,0.654544904930323,0.307772123830912,26.961805,155.39,-7.48121533990651,0.568533227539253,"Procter & Gamble Company (The)","2023-05-08 16:03:03",366037434368,5.76,8.25932,2356969984,"USD","2022-06-30",7214000000,NA,5143000000,6924000000,NA,21653000000,140000000,21955000000,10081000000,117208000000,14882000000,3647000000,3674000000,22848000000,13830000000,33081000000,70354000000,4009000000,112429000000,-136487000000,-13105000000,45746000000,-17633000000,39700000000,23679000000,NA,65795000000,NA,265000000,"PG"
"16","LLY",-652.222013947285,1.05229837439171,0.465834418200979,68.794914,432.5,-0.663455069381599,0.703263909238762,"Eli Lilly and Company","2023-05-08 16:03:15",410769424384,6.29,34.773384,949273024,"USD","2022-12-31",2067000000,144800000,8301800000,4309700000,26600000,18034500000,3200900000,10144000000,6830800000,49489800000,1930600000,1539400000,3591300000,15445800000,6130400000,17138200000,38714400000,594100000,10042600000,-6908300000,-6857800000,10649800000,-629800000,4073000000,7206600000,2792900000,6921400000,NA,125600000,"LLY"
"17","MA",-71.8710349258312,1.17182979323971,0.513370637153368,38.551003,385.5,-5.40641172222891,1.15190755743944,"Mastercard Incorporated","2023-05-08 16:00:02",365320470528,10,68.57168,940179968,"USD","2022-12-31",7008000000,400000000,3425000000,NA,5773000000,16606000000,1730000000,2006000000,7001000000,38724000000,926000000,274000000,5306000000,13749000000,3797000000,14171000000,32347000000,NA,53607000000,-52607000000,-1253000000,6298000000,-5083000000,7522000000,3859000000,1151000000,5298000000,4578000000,79000000,"MA"
"18","MRK",66.4921975104028,1.47374066586905,0.566099331241482,23.121094,118.38,1.78035922457029,0.695566277846767,"Merck & Company, Inc.","2023-05-08 16:03:07",300411748352,5.12,6.5323915,2537690112,"USD","2022-12-31",12694000000,498000000,10621000000,5911000000,5998000000,35722000000,1847000000,22768000000,7350000000,109160000000,5037000000,2300000000,4344000000,28745000000,9105000000,24239000000,63102000000,1788000000,61081000000,-61257000000,-4768000000,45991000000,4518000000,21204000000,20269000000,503000000,44379000000,NA,67000000,"MRK"
"19","HD",-31.6760549023357,1.40506274340113,0.433623118731888,17.26199,289.7,-9.0898316870873,0.973909201803699,"Home Depot, Inc. (The)","2023-05-08 16:00:02",291578085376,16.68,187.33247,1012670016,"USD","2023-01-29",2757000000,NA,3317000000,24886000000,1511000000,32471000000,NA,32572000000,635000000,76445000000,11443000000,1000000000,3114000000,38908000000,3585000000,23110000000,74883000000,90000000,76896000000,-88016000000,-718000000,1562000000,-9205000000,7444000000,3323000000,319000000,12592000000,NA,NA,"HD"
"20","CVX",1.95617666915114,1.47167329279701,0.516513281418326,8.616631,159.65,81.5775028501457,1.04628742019878,"Chevron Corporation","2023-05-08 16:02:41",302346665984,18.52,1.91879,1894640000,"USD","2022-12-31",17678000000,223000000,20281000000,8247000000,805000000,50343000000,45238000000,147853000000,9553000000,257709000000,18955000000,1591000000,4381000000,20972000000,38964000000,34208000000,97467000000,1832000000,190024000000,-51234000000,-3038000000,159282000000,154560000000,4722000000,NA,4505000000,18660000000,NA,960000000,"CVX"
"21","PEP",-16.0091570426107,0.804144110509614,0.287516352083723,40.619747,0,-12.0774631399222,0.579931339629252,"Pepsico, Inc.","2023-05-08 16:00:04",266376364032,4.76,15.634351,1377689984,"USD","2022-12-31",4954000000,394000000,10163000000,5222000000,40000000,21539000000,3886000000,26664000000,6310000000,92187000000,10732000000,3096000000,6000000000,35657000000,10539000000,26785000000,74914000000,23000000,67800000000,-54808000000,-15302000000,17149000000,-16639000000,18202000000,15586000000,4204000000,4134000000,123000000,124000000,"PEP"
"22","AVGO",-9.36144367332953,2.62393647192286,0.366125840918085,21.194744,0,-67.1968991950571,1.27288544618197,"Broadcom Inc.","2023-05-08 16:00:04",262270205952,29.68,11.253511,416924000,"USD","2022-10-30",12416000000,NA,2958000000,1925000000,341000000,18504000000,NA,2740000000,1280000000,73249000000,998000000,403000000,3945000000,39053000000,4024000000,7052000000,50540000000,NA,1604000000,-54000000,-54000000,22709000000,-28016000000,43614000000,7111000000,NA,21159000000,NA,NA,"AVGO"
"23","ABBV",-3.15908774214547,0.963606202180242,0.234228673941309,34.69412,148,-46.6748662273993,0.761487333401199,"AbbVie Inc.","2023-05-08 16:03:08",260122443776,4.25,15.118424,1764140032,"USD","2022-12-31",9201000000,28000000,11254000000,3579000000,88000000,28463000000,241000000,5672000000,4834000000,138805000000,9575000000,4135000000,3144000000,59493000000,31716000000,29538000000,121518000000,18000000,4784000000,-6793000000,-2199000000,17254000000,-82341000000,32156000000,67439000000,NA,19245000000,NA,33000000,"ABBV"
"24","KO",-29.0181760671845,1.1453559115798,0.337496451887596,28.15859,63.91,-2.20275734347409,0.585498552599114,"Coca-Cola Company (The)","2023-05-08 16:00:01",276427145216,2.27,10.962099,4324579840,"USD","2022-12-31",9519000000,2112000000,3487000000,4233000000,1114000000,22591000000,20290000000,11247000000,5004000000,92763000000,5307000000,399000000,3141000000,38053000000,8047000000,19724000000,66937000000,1760000000,71019000000,-67496000000,-14895000000,24105000000,-9526000000,18782000000,14849000000,1746000000,18822000000,NA,1721000000,"KO"
"25","COST",11.2639128643697,1.02181386336646,0.751304028125646,36.641705,0,44.306094361117,0.701694694755255,"Costco Wholesale Corporation","2023-05-08 16:00:04",221324623872,13.62,9.711228,443483008,"USD","2022-08-28",10203000000,846000000,2241000000,17907000000,1499000000,32696000000,NA,29040000000,1437000000,64166000000,17848000000,73000000,7301000000,6484000000,1172000000,31998000000,43519000000,2000000,15585000000,-1829000000,-1829000000,20642000000,19649000000,993000000,NA,445000000,6884000000,NA,5000000,"COST"
"26","MCD",-22.175407953645,1.42663265037742,0.0961073016885487,31.867884,296.97,-13.3803723672387,0.624902030274286,"McDonald's Corporation","2023-05-08 16:00:02",216611602432,9.31,-36.111248,730032000,"USD","2022-12-31",2583800000,NA,2142300000,52000000,253800000,5424200000,1064500000,36339300000,3842900000,50435600000,980200000,NA,294400000,35995000000,4507500000,3802100000,56439000000,16600000,59543900000,-74111000000,-2486600000,-6003400000,-9768100000,2900400000,864300000,2477000000,8547100000,NA,NA,"MCD"
"27","PFE",238.284871545852,1.21645545588305,0.506071795276834,7.6272182,38.68,0.16228473871936,0.709073907286677,"Pfizer, Inc.","2023-05-08 16:03:03",218268942336,5.07,2.2701654,5644400128,"USD","2022-12-31",416000000,22316000000,14529000000,8981000000,5017000000,51259000000,15069000000,19276000000,16856000000,197205000000,6809000000,2570000000,23438000000,33205000000,23348000000,42138000000,101288000000,476000000,125656000000,-122273000000,-8304000000,95661000000,916000000,51375000000,43370000000,4800000000,91802000000,NA,256000000,"PFE"
"28","TMO",-14.240066194883,1.48318636096414,0.475964985096027,35.347233,543.64,-38.1023510872175,0.898179475232126,"Thermo Fisher Scientific Inc","2023-05-08 16:00:01",209272012800,15.35,4.950051,385697984,"USD","2022-12-31",8524000000,NA,9427000000,5634000000,1644000000,25229000000,154000000,10873000000,2224000000,97154000000,3381000000,5258000000,2658000000,28795000000,5689000000,17010000000,53006000000,441000000,41910000000,-15116000000,-3099000000,43978000000,-14696000000,41196000000,17478000000,NA,16743000000,NA,170000000,"TMO"
"29","WMT",9.31588852647052,0.820570945139808,0.475201939625391,35.849762,152.82,16.3934980021398,0.518213724865865,"Walmart Inc.","2023-05-08 16:00:01",411939274752,4.26,5.3633013,2697349888,"USD","2023-01-31",8625000000,NA,7933000000,56576000000,NA,75655000000,11169000000,119234000000,4665000000,243197000000,53742000000,4191000000,6164000000,36761000000,12576000000,92198000000,159206000000,269000000,83135000000,-11680000000,-11680000000,76693000000,44219000000,28174000000,4300000000,1503000000,4969000000,NA,7298000000,"WMT"
"30","CRM",72.6739114538635,1.01946622378433,0.651889355396394,899.5454,197.99,2.72312301688005,1.25317873455876,"Salesforce, Inc.","2023-05-08 16:00:02",193748647936,0.22,3.3266654,979022976,"USD","2023-01-31",7016000000,5492000000,10755000000,NA,1776000000,26395000000,4672000000,6592000000,5497000000,98849000000,3279000000,1182000000,17983000000,9419000000,1749000000,25891000000,40490000000,1000000,7585000000,-4274000000,-274000000,58359000000,2666000000,48568000000,7125000000,2800000000,55047000000,2697000000,NA,"CRM"
"31","ABT",56.1429234651908,1.62851055587837,0.672048597234434,33.708206,111.45,1.97531580011805,0.678624402001678,"Abbott Laboratories","2023-05-08 16:03:25",192738656256,3.29,5.2531857,1737949952,"USD","2022-12-31",9882000000,288000000,6218000000,6173000000,412000000,25224000000,468000000,10278000000,5215000000,74438000000,4607000000,2251000000,1360000000,14522000000,6579000000,15489000000,37533000000,24709000000,35257000000,-23280000000,-8051000000,36686000000,3433000000,22799000000,10454000000,NA,NA,NA,219000000,"ABT"
"32","BAC",1.25536628064946,0.368735748204538,0.332412825960036,8.315315,27.66,22.0573086287434,1.69616397837143,"Bank of America Corporation","2023-05-08 16:00:01",220665774080,3.33,0.87670976,7969149952,"USD","2022-12-31",222603000000,273965000000,63743000000,170000000,133776000000,923502000000,878708000000,21265000000,1158878000000,3051375000000,1930341000000,16291000000,80399000000,259691000000,5617000000,2504509000000,2778178000000,58953000000,207003000000,-21156000000,-21156000000,244800000000,175778000000,69022000000,NA,13345000000,NA,NA,NA,"BAC"
"33","CSCO",-172.545727767273,1.43202028081123,0.677073152741153,16.97436,0,-0.268566487640051,1.02240319146827,"Cisco Systems, Inc.","2023-05-08 16:00:04",189800300544,2.73,4.575434,4095820032,"USD","2022-07-30",7079000000,12188000000,10527000000,2568000000,4355000000,36717000000,1500000000,3000000000,11912000000,94002000000,2594000000,499000000,18309000000,8416000000,19449000000,25640000000,54229000000,42714000000,-1319000000,-1622000000,-1622000000,39773000000,-1100000000,38304000000,2569000000,4449000000,NA,NA,NA,"CSCO"
"34","DIS",82.7205896781003,1.00085990437863,0.305481192193422,56.889503,102.94,1.24479284650111,1.044808143037,"Walt Disney Company (The)","2023-05-08 16:03:04",188106620928,1.81,1.9555228,1826809984,"USD","2022-10-01",11615000000,NA,12652000000,3632000000,1199000000,29098000000,3218000000,37865000000,40716000000,203631000000,15554000000,1408000000,6351000000,45299000000,17642000000,29073000000,95253000000,56398000000,43636000000,-5026000000,-4119000000,95008000000,2274000000,77897000000,14837000000,NA,NA,NA,13370000000,"DIS"
"35","LIN",99.9614369089894,0.791734935372292,0.340910872462178,40.720493,373,3.65811070996122,0.978276095677302,"Linde plc","2023-05-08 16:03:39",179030933504,8.98,4.485098,489596992,"USD","2022-12-31",5436000000,NA,4908000000,1978000000,292000000,13047000000,2534000000,24420000000,1420000000,79658000000,2995000000,1599000000,4951000000,12198000000,8940000000,16479000000,38271000000,1000000,20541000000,-20519000000,-5782000000,40028000000,1791000000,25817000000,12420000000,230000000,40005000000,66000000,1359000000,"LIN"
"36","CMCSA",-2.55515832809857,0.782658586438125,0.124551321924023,30.291044,0,-15.9216038230437,1.00165328088109,"Comcast Corporation","2023-05-08 16:00:03",169212805120,1.34,2.058212,4159379968,"USD","2022-12-31",4749000000,NA,12672000000,NA,4405000000,21826000000,7250000000,61482000000,19550000000,257275000000,12544000000,1743000000,4150000000,96440000000,43003000000,27887000000,175237000000,51000000,51609000000,-10129000000,-2612000000,80943000000,-66224000000,58494000000,88673000000,NA,39412000000,1081000000,1095000000,"CMCSA"
"37","ACN",18.6537932249495,1.23325111610149,0.881489834804613,24.362467,266.15,14.2079950744288,0.923853710943537,"Accenture plc","2023-05-08 16:00:01",167376830464,10.87,7.0350394,631532032,"USD","2022-08-31",7889833000,3973000,11776775000,NA,1940290000,21610871000,317972000,4677675000,7523579000,47263390000,2559485000,9175000,5269467000,45893000,4383823000,17523496000,24516302000,72000,18203842000,-6776997000,-98960000,22106097000,8972804000,13133293000,NA,4001200000,10679180000,807940000,640991000,"ACN"
"38","ADBE",-853.082820497297,1.10679133858268,0.685984444105536,33.59961,0,-0.403313712666231,1.18409431545193,"Adobe Inc.","2023-05-08 16:00:04",157820321792,10.24,11.116639,458700000,"USD","2022-12-02",4236000000,1860000000,2065000000,NA,274000000,8996000000,NA,2315000000,1618000000,27165000000,379000000,500000000,5493000000,3629000000,940000000,8128000000,13114000000,NA,28319000000,-24136000000,-293000000,14051000000,-185000000,12787000000,1449000000,777000000,9868000000,406000000,NA,"ADBE"
"39","DHR",-15.1688401938477,1.89331267135535,0.463601868067717,25.752422,241.59,-15.7718059976034,0.890519183937795,"Danaher Corporation","2023-05-08 16:03:32",176534962176,9.29,3.5023718,737899008,"USD","2022-12-31",5995000000,NA,5970000000,3110000000,6000000,15883000000,11000000,4957000000,3447000000,84350000000,2296000000,591000000,3671000000,19086000000,5922000000,8389000000,34260000000,9000000,39205000000,-2872000000,-2872000000,48414000000,-11638000000,39752000000,20300000000,1426000000,12072000000,NA,8000000,"DHR"
"40","VZ",-1.60994643343052,0.754559406828646,0.131806264949498,7.359923,37.91,-23.4976771172237,0.611434986796886,"Verizon Communications Inc.","2023-05-08 16:00:01",159036948480,5.14,1.7122296,4203990016,"USD","2022-12-31",2605000000,37000000,25162000000,2388000000,6306000000,37857000000,1450000000,133564000000,16881000000,379680000000,8750000000,10192000000,13179000000,143441000000,70880000000,50171000000,287217000000,429000000,82380000000,-5085000000,-1072000000,91144000000,-98784000000,28671000000,161257000000,NA,13420000000,2475000000,1319000000,"VZ"
"41","NKE",13.2562898337299,2.62935694315005,1.12671725239617,36.564842,126.75,11.8097086797022,0.961425714712264,"Nike, Inc.","2023-05-08 16:00:01",195013279744,3.47,13.446376,1245670016,"USD","2022-05-31",8574000000,4423000000,4667000000,8420000000,868000000,28213000000,NA,7717000000,3821000000,40321000000,3358000000,500000000,1700000000,8920000000,2613000000,10730000000,25040000000,3000000,3476000000,318000000,318000000,15281000000,14711000000,284000000,286000000,2295000000,11484000000,NA,NA,"NKE"
"42","TXN",14.8121780113286,4.69715242881072,1.11013460015835,18.451687,0,11.0868236383146,1.01949248846095,"Texas Instruments Incorporated","2023-05-08 16:00:04",149054947328,8.9,9.78257,907654016,"USD","2022-12-31",3050000000,6017000000,1895000000,2757000000,NA,14021000000,NA,7307000000,1365000000,27207000000,851000000,500000000,189000000,8235000000,1066000000,2985000000,12630000000,1741000000,50353000000,-40468000000,-254000000,14577000000,10063000000,4362000000,152000000,473000000,2951000000,NA,NA,"TXN"
"43","NEE",4.57821627034745,0.505338078291815,0.123197472123033,22.569733,76.34,16.6134561625216,0.707309909644995,"NextEra Energy, Inc.","2023-05-08 16:00:02",153901318144,3.37,3.5877357,2023420032,"USD","2022-12-31",1601000000,NA,5093000000,1934000000,4862000000,13490000000,15098000000,111823000000,12911000000,158935000000,8312000000,6633000000,7954000000,55256000000,27173000000,26695000000,109499000000,20000000,26707000000,-218000000,-218000000,39229000000,33616000000,4854000000,759000000,219000000,12720000000,7019000000,10207000000,"NEE"
"44","ORCL",-5.07691015321249,1.62129055404644,0.274914178942337,31.943895,96.99,-19.0647450847679,0.967566294983488,"Oracle Corporation","2023-05-08 16:03:08",261313642496,3.03,-107.90412,2699800064,"USD","2022-05-31",21383000000,519000000,6744000000,314000000,NA,31633000000,NA,13216000000,19197000000,109297000000,1317000000,3749000000,11774000000,72110000000,20544000000,19511000000,115065000000,26808000000,-31336000000,-1692000000,-1692000000,-6220000000,-51471000000,43811000000,1440000000,12782000000,NA,NA,452000000,"ORCL"
"45","PM",-4.19670152286102,0.717698273339186,0.28854865278268,17.09481,96,-22.7702625030903,0.660558779862999,"Philip Morris International Inc","2023-05-08 16:00:02",148328218624,5.59,-16.62202,1552199936,"USD","2022-12-31",3207000000,NA,4756000000,9886000000,1770000000,19619000000,4431000000,7304000000,3940000000,61681000000,4076000000,2577000000,3452000000,34855000000,5345000000,27336000000,67992000000,NA,34289000000,-45476000000,-9559000000,-8957000000,-35344000000,19655000000,6732000000,603000000,2230000000,NA,2646000000,"PM"
"46","BMY",-5.53895069426138,1.2459113750571,0.415101518979635,19.944607,68.48,-12.3507149045223,0.631825200150532,"Bristol-Myers Squibb Company","2023-05-08 16:00:01",143719153664,3.43,4.51432,2100850048,"USD","2022-12-31",9123000000,130000000,13937000000,2339000000,1744000000,27273000000,2187000000,7475000000,2877000000,96820000000,3040000000,3897000000,4212000000,35159000000,7392000000,21890000000,65702000000,292000000,25503000000,-39899000000,-1281000000,31061000000,-25947000000,21149000000,35859000000,1344000000,45165000000,496000000,57000000,"BMY"
"47","AMD",25.1187640321681,2.35814099544669,1.17061574434918,452.57144,0,3.78362587113934,1.4798105047086,"Advanced Micro Devices, Inc.","2023-05-08 16:00:04",153048629248,0.21,2.7982569,1610360064,"USD","2022-12-31",4835000000,1020000000,4128000000,3771000000,NA,15019000000,83000000,1973000000,1848000000,67580000000,2956000000,NA,243000000,2467000000,3598000000,6369000000,12830000000,16000000,-131000000,-3140000000,-41000000,54750000000,6093000000,24177000000,24480000000,58000000,58005000000,NA,NA,"AMD"
"48","WFC",1.08555274614335,0.259534649376823,0.235252989598862,11.092485,38.29,35.3552616888562,1.4551114993784,"Wells Fargo & Company","2023-05-08 16:03:07",147141246976,3.46,0.8907352,3833799936,"USD","2022-12-31",226057000000,NA,23646000000,137000000,14049000000,399728000000,443257000000,17977000000,984249000000,1881016000000,1383985000000,19613000000,NA,155235000000,130000000,1540172000000,1699141000000,9136000000,187649000000,-96234000000,-13381000000,160870000000,135545000000,25173000000,10632000000,NA,60319000000,NA,1986000000,"WFC"
"49","NFLX",18.3019428613479,1.16839028850681,0.333118263852938,35.011627,0,18.0969857555903,0.995034891963473,"Netflix, Inc.","2023-05-08 16:00:03",147236421632,9.46,6.7452087,444540992,"USD","2022-12-31",5147176000,911276000,988898000,NA,1826388000,9266473000,NA,3625379000,22970367000,48594768000,671513000,NA,5744811000,14353076000,3310814000,7930974000,27817367000,4637601000,17181296000,-1041496000,-217306000,20777401000,8044852000,NA,12732549000,261541000,NA,NA,NA,"NFLX"
"50","RTX",-7.74207287981809,1.08511019072455,0.501393975191967,25.545454,96.3,-12.3403646432865,0.975307117272992,"Raytheon Technologies Corporati","2023-05-08 16:00:01",139597316096,3.74,1.919052,1461139968,"USD","2022-12-31",6220000000,NA,20642000000,10617000000,4964000000,42443000000,NA,16999000000,6156000000,158864000000,9896000000,595000000,14984000000,30606000000,13256000000,39114000000,84650000000,37939000000,52269000000,-17576000000,-2046000000,72632000000,-18031000000,53840000000,36823000000,NA,NA,NA,1582000000,"RTX"
"51","HON",-32.5969863988066,1.25298425117865,0.55578544572738,25.577923,0,-6.04196937604237,1.03156627313189,"Honeywell International Inc.","2023-05-08 16:00:03",131105079296,7.7,7.7490554,665676992,"USD","2022-12-31",9627000000,483000000,7621000000,5538000000,1713000000,24982000000,945000000,6352000000,9277000000,62275000000,6329000000,1653000000,4698000000,14978000000,9113000000,19938000000,44949000000,958000000,45093000000,-37918000000,-3475000000,16697000000,-4022000000,17497000000,3222000000,421000000,8564000000,NA,629000000,"HON"
"52","UPS",11.7318974982376,1.22475192943771,0.432902710391458,14.120647,174.87,17.6149996361931,0.835807581735523,"United Parcel Service, Inc.","2023-05-08 16:03:05",149781135360,12.35,7.5019355,724780032,"USD","2022-12-31",5602000000,1993000000,12891000000,889000000,842000000,22217000000,305000000,38474000000,3109000000,71124000000,7512000000,2249000000,1427000000,17028000000,12617000000,18140000000,51321000000,9000000,21326000000,-1549000000,-1536000000,19786000000,12767000000,4223000000,2796000000,139000000,NA,NA,17000000,"UPS"
"53","INTC",1.89255422089834,1.56762556367594,0.639544768260654,-1,0,16.2584509612705,1.09665806007617,"Intel Corporation","2023-05-08 16:00:04",128341671936,-0.7,1.3088048,4171000064,"USD","2022-12-31",11144000000,17194000000,4324000000,13224000000,4521000000,50407000000,5912000000,81347000000,10828000000,182103000000,9595000000,4379000000,3624000000,37684000000,8742000000,32155000000,78817000000,31580000000,70405000000,-562000000,-562000000,101423000000,67814000000,27591000000,6018000000,3450000000,NA,NA,1863000000,"INTC"
