"","Symbol","Price/Book Ratio","CurrentRatio","NetCurrentRatio","P.E.Ratio","Ask","BookPrice","Name","Trade.Time","Market.Capitalization","Earnings.Share","Price.Book","Shares.Outstanding","Currency","date","cash","shortTermInvestments","netReceivables","inventory","otherCurrentAssets","totalCurrentAssets","longTermInvestments","propertyPlantEquipment","otherAssets","totalAssets","accountsPayable","shortLongTermDebt","otherCurrentLiab","longTermDebt","otherLiab","totalCurrentLiabilities","totalLiab","commonStock","retainedEarnings","treasuryStock","otherStockholderEquity","totalStockholderEquity","netTangibleAssets","goodWill","intangibleAssets","deferredLongTermAssetCharges","capitalSurplus","minorityInterest","deferredLongTermLiab","X.ticker."
"171","CTVA",7.14175002301086,1.87932790224033,0.995214020896528,25.135246,61.33,8.58753131088227,"Corteva, Inc.","2022-08-19 16:03:08",44071739392,2.44,1.7078809,718600000,"USD","2022-06-30",2401000000,254000000,6971000000,4184000000,954000000,14764000000,93000000,4300000000,2089000000,40906000000,3567000000,NA,1206000000,1281000000,5696000000,7856000000,14835000000,7000000,1252000000,-3223000000,-3223000000,25831000000,6171000000,9987000000,9673000000,449000000,27795000000,240000000,NA,"CTVA"
"172","EXC",2.68767534641137,0.914207446146184,0.106965427818004,25.213114,46.32,17.1672515967863,"Exelon Corporation","2022-08-19 16:00:04",45760360448,1.83,1.9123802,991772032,"USD","2022-06-30",816000000,NA,3242000000,624000000,2660000000,7342000000,235000000,66456000000,11632000000,92295000000,2451000000,505000000,2258000000,36179000000,24429000000,8031000000,68639000000,20319000000,4161000000,-824000000,-701000000,23656000000,17026000000,6630000000,NA,NA,NA,NA,8350000000,"EXC"
"173","COF",1.27783691241396,0.0905952052730455,0.073043698530286,4.897861,115.4,87.8124564376848,"Capital One Financial Corporati","2022-08-19 16:00:01",43068215296,22.91,0.88681823,383817984,"USD","2022-06-30",21553000000,NA,NA,52000000,3221000000,28259000000,83459000000,4238000000,309036000000,440288000000,307885000000,NA,NA,58455000000,14954000000,311926000000,386878000000,7000000,54836000000,-35858000000,-6916000000,48565000000,33704000000,14778000000,518000000,NA,29580000000,NA,NA,"COF"
"174","TEL",11.5741035771398,1.4992091735864,0.701415225233558,17.653141,135,11.6527374922323,"TE Connectivity Ltd. New Switze","2022-08-19 16:03:42",43136684032,7.64,4.141563,319839008,"USD","2022-06-24",820000000,NA,3132000000,3028000000,48000000,7583000000,NA,3712000000,3346000000,21348000000,1917000000,822000000,755000000,3380000000,2373000000,5058000000,10811000000,146000000,12084000000,-1796000000,-426000000,10434000000,3727000000,5352000000,1355000000,2478000000,NA,103000000,NA,"TEL"
"175","PAYX",48.4340915207463,1.24907006756244,1.00482442748092,36.065105,138,2.85934971291251,"Paychex, Inc.","2022-08-19 16:00:04",49843523584,3.84,16.156092,359907008,"USD","2022-05-31",370000000,853900000,1318200000,NA,3956400000,6581600000,5000000,480000000,512500000,9635200000,105700000,NA,4220900000,797700000,408300000,5269200000,6550000000,3600000,1669600000,-133900000,-133900000,3085200000,1029100000,1831500000,224600000,NA,1545900000,NA,433300000,"PAYX"
"176","O",2.58183392381024,1.03767569097255,0.083026188041332,73.64647,72.92,28.2396192252126,"Realty Income Corporation","2022-08-19 16:00:01",45027545088,0.99,1.710298,617577024,"USD","2022-06-30",172849000,NA,1052793000,NA,314014000,1540056000,113562000,34371926000,39902000,44951918000,65613000,45500000,194677000,14977894000,1601147000,1484140000,18549039000,31303383000,NA,-4976771000,-4976771000,26326612000,17440140000,3731478000,5154994000,NA,NA,76267000,19663000,"O"
"177","SYY",-10.7201518949177,1.19716168802116,0.50809870971919,32.833332,87.6,-8.08570635065134,"Sysco Corporation","2022-08-19 16:00:02",44089176064,2.64,31.891098,508643008,"USD","2022-07-02",867086000,NA,4904713000,4448154000,NA,10523742000,NA,5179717000,927754000,22126211000,5793481000,580611000,40042000,10066931000,1218078000,8790577000,20712003000,765175000,10539722000,-11688942000,-1482054000,1382260000,-4112738000,4542315000,952683000,377604000,1766305000,31948000,NA,"SYY"
"178","ECL",-10.0460504368882,1.28875459800315,0.349229630051548,44.851177,184.96,-17.0992569425278,"Ecolab Inc.","2022-08-19 16:03:25",48955408384,3.83,6.901567,284988992,"USD","2022-06-30",124900000,NA,2826700000,1720700000,99700000,4905000000,NA,3664800000,627300000,21163600000,1524800000,2500000,543500000,8160700000,1779600000,3806000000,14045200000,364500000,9003300000,-8804200000,-1617900000,7093400000,-4873100000,7935900000,4030600000,117300000,6529800000,25000000,NA,"ECL"
"179","MSI",-9.24603494377598,1.16048408313602,0.364485209056354,36.43885,254.52,-27.3901202571889,"Motorola Solutions, Inc.","2022-08-19 16:04:02",42263625728,6.95,-95.422005,166884992,"USD","2022-07-02",717000000,NA,2329000000,1071000000,294000000,4411000000,94000000,1405000000,1634000000,11672000000,1073000000,NA,1878000000,6011000000,1982000000,3801000000,12102000000,2000000,936000000,-2491000000,-2491000000,-443000000,-4571000000,2873000000,1255000000,1004000000,1110000000,13000000,118000000,"MSI"
"180","PSX",1.93576087796888,1.27737392094502,0.588195297994194,7.4949155,88.4,45.6874627316029,"Phillips 66","2022-08-19 16:00:02",42544152576,11.8,1.7525365,481051008,"USD","2022-06-30",2809000000,NA,13393000000,4580000000,2371000000,22492000000,14047000000,22229000000,1746000000,62812000000,13652000000,526000000,1812000000,12443000000,7124000000,17608000000,38239000000,7000000,19087000000,-14535000000,-733000000,24276000000,21978000000,1486000000,812000000,NA,19717000000,297000000,NA,"PSX"
"181","WMB",11.9626914896009,0.648681055155875,0.112310566742786,27.289062,34.93,2.91991158186031,"Williams Companies, Inc. (The)","2022-08-19 16:00:01",42563256320,1.28,3.801698,1218530048,"USD","2022-06-30",133000000,NA,2784000000,371000000,499000000,3787000000,5116000000,29660000000,1359000000,47555000000,2496000000,876000000,67000000,20800000000,7081000000,5838000000,33719000000,1253000000,-13498000000,-1064000000,-23000000,11191000000,3558000000,NA,7633000000,NA,24500000000,2610000000,NA,"WMB"
"182","A",138.556186122449,1.94006309148265,0.68422028555535,31.42009,137.6,0.993243243243243,"Agilent Technologies, Inc.","2022-08-19 16:03:05",40735518720,4.38,8.001628,296000000,"USD","2022-07-31",1071000000,6000000,1345000000,1010000000,258000000,3690000000,194000000,1054000000,749000000,10484000000,558000000,NA,498000000,2732000000,759000000,1902000000,5393000000,3000000,139000000,-362000000,-362000000,5091000000,294000000,NA,4797000000,NA,5311000000,NA,NA,"A"
"183","XEL",2.63511906530587,0.995272353545735,0.111705809071195,25.561462,77.77,29.1979222706592,"Xcel Energy Inc.","2022-08-19 16:00:04",42085486592,3.01,2.6342099,546990976,"USD","2022-06-30",335000000,NA,1876000000,645000000,1524000000,4842000000,376000000,47475000000,6624000000,59317000000,1590000000,651000000,2055000000,23205000000,14162000000,4865000000,43346000000,1367000000,6747000000,-103000000,-103000000,15971000000,15971000000,NA,NA,NA,7960000000,NA,2965000000,"XEL"
"184","TRV",2.20113446043088,0.343296651593172,0.280291955224995,11.99722,173.08,78.43228406138,"The Travelers Companies, Inc.","2022-08-19 16:00:02",40969715712,14.39,1.7910014,237312992,"USD","2022-06-30",710000000,3569000000,9132000000,NA,12856000000,26267000000,75920000000,NA,7363000000,116587000000,58603000000,NA,17811000000,7191000000,10008000000,76514000000,93713000000,24419000000,42684000000,-44229000000,-5155000000,22874000000,18613000000,3967000000,3070000000,1374000000,NA,NA,NA,"TRV"
"185","DVN",4.80457860811824,1.55129457743039,0.489743985194324,8.683144,68.55,14.2593158216249,"Devon Energy Corporation","2022-08-19 16:00:02",44860350464,7.89,4.4527493,654800000,"USD","2022-06-30",3300000000,NA,2348000000,NA,703000000,6351000000,423000000,15349000000,318000000,23194000000,668000000,NA,3375000000,6461000000,2154000000,4094000000,12968000000,66000000,3107000000,-143000000,-130000000,10090000000,9337000000,753000000,NA,NA,7060000000,136000000,NA,"DVN"
"186","JCI",-6.06695286017536,0.972734158040899,0.459036575195584,38.689186,57.59,-9.43801650819277,"Johnson Controls International ","2022-08-19 16:00:01",39441260544,1.48,2.4669337,688809984,"USD","2022-06-30",1506000000,NA,5855000000,2574000000,1624000000,11559000000,1070000000,4252000000,2954000000,42324000000,4125000000,217000000,4152000000,7194000000,5105000000,11883000000,25181000000,7000000,645000000,-1863000000,-662000000,15988000000,-6501000000,17725000000,4764000000,NA,17199000000,1155000000,122000000,"JCI"
"187","DOW",5.14074894530444,1.63566007964535,0.510577915376677,6.277149,55.52,10.7941471260299,"Dow Inc.","2022-08-19 16:00:02",39851085824,8.84,2.1003823,718166976,"USD","2022-06-30",2367000000,169000000,9753000000,8225000000,1088000000,21769000000,5181000000,21432000000,2540000000,62143000000,8517000000,254000000,1586000000,12346000000,15219000000,13309000000,42636000000,8000000,22827000000,-12205000000,-9204000000,18973000000,7752000000,8605000000,2616000000,1118000000,8343000000,534000000,1383000000,"DOW"
"188","STZ",86.8440154013803,1.39580691520839,0.231204402559758,38.25076,252.43,3.45561221549002,"Constellation Brands, Inc.","2022-08-19 16:03:45",47816314880,6.58,4.1183014,159335008,"USD","2022-05-31",101800000,NA,879900000,1656400000,167900000,3302200000,2706300000,6163300000,2988500000,25841100000,874600000,567400000,20300000,10265700000,1638600000,2365800000,14282600000,2200000,14746200000,-5342000000,-166300000,11231400000,550600000,7915100000,2765700000,2334800000,1825000000,327100000,NA,"STZ"
"189","MSCI",-10.0470031993014,1.32920430606634,0.254118145369516,49.176773,487.51,-47.625143820913,"MSCI Inc","2022-08-19 16:03:31",38519828480,9.73,-37.52568,80502896,"USD","2022-06-30",842300000,NA,586815000,NA,16400000,1489081000,216554000,187512000,132689000,4833352000,9295000,6532000,846635000,4505338000,101686000,1120280000,5859798000,1336000,3243654000,-5763770000,-64701000,-1026446000,-3833962000,2231154000,576362000,64216000,1492334000,NA,1900000,"MSCI"
"190","MCHP",-8.57329829182274,1.77945334590009,0.258364693807732,26.044117,71.08,-8.26286419952732,"Microchip Technology Incorporat","2022-08-19 16:00:04",39137964032,2.72,6.547135,552483968,"USD","2022-06-30",377100000,2000000,1145000000,911800000,207300000,2643200000,NA,994900000,2027300000,16208400000,304700000,NA,175300000,7563900000,1181200000,1485400000,10230500000,600000,4575900000,-991600000,-16600000,5977900000,-4565100000,6673600000,3869400000,1747700000,2393000000,NA,NA,"MCHP"
"191","AJG",-11.7331876581057,1.05274264296077,0.794908861946891,38.603237,191.51,-16.2530427506466,"Arthur J. Gallagher & Co.","2022-08-19 16:04:24",40111075328,4.94,4.5535946,210336000,"USD","2022-06-30",523600000,NA,19687600000,NA,4359300000,24744400000,34800000,932800000,2051100000,39990400000,20381200000,710000000,575500000,5561500000,1749100000,23504700000,31128600000,210300000,3388700000,-1057300000,-1057300000,8808700000,-3418600000,9036400000,3190900000,1136800000,6267000000,53100000,NA,"AJG"
"192","PRU",1.36230914538693,1.19446036978644,0.0500014249693632,18.800001,103.85,75.9005376344086,"Prudential Financial, Inc.","2022-08-19 16:00:01",38464798720,5.5,1.3645841,372000000,"USD","2022-06-30",14359000000,6828000000,696000000,NA,5180000000,33335000000,334511000000,NA,308550000000,695599000000,2256000000,158000000,11347000000,19844000000,618929000000,27908000000,666681000000,6000000,35137000000,-32569000000,-10178000000,28235000000,28235000000,NA,19203000000,NA,25661000000,683000000,NA,"PRU"
"193","ENPH",244.603401685465,3.61657465469469,0.874066831175932,204.10072,282.8,1.15983676944487,"Enphase Energy, Inc.","2022-08-19 16:00:04",38429151232,1.39,85.1952,135456992,"USD","2022-06-30",495473000,752328000,338988000,130266000,NA,1735992000,40913000,103765000,262547000,2437108000,90398000,88429000,123127000,1197786000,292132000,480010000,1986109000,1000,-251230000,-11245000,-11245000,450999000,157108000,197004000,96887000,174307000,713473000,NA,NA,"ENPH"
"194","TT",-12.5793843003051,1.08789940145285,0.512933886027718,26.151758,164.51,-13.0141513316382,"Trane Technologies plc","2022-08-19 16:03:45",37934391296,6.26,6.627399,231716992,"USD","2022-06-30",1090200000,NA,2942800000,1886900000,205300000,6125200000,53600000,1425900000,1337000000,17680800000,2000200000,1049800000,1127800000,3786700000,2524500000,5630300000,11941500000,256200000,8003700000,-2548500000,-829100000,5723500000,-3015600000,5456600000,3282500000,NA,12100000,15800000,NA,"TT"
"195","CTAS",-176.979662088308,1.83683534674678,0.543903774700045,37.46953,436.52,-2.46649800371586,"Cintas Corporation","2022-08-19 16:00:05",44170584064,11.65,13.42106,101188000,"USD","2022-05-31",90471000,NA,1027928000,1388856000,83700000,2631983000,5737000,1377376000,574384000,8147256000,251504000,311574000,97525000,2545499000,731607000,1432890000,4839060000,1771917000,8719163000,-7182884000,107917000,3308196000,-249580000,3042976000,514800000,NA,NA,NA,232224000,"CTAS"
"196","AFL",1.52500908477659,0.753655074520937,0.0972062027425349,9.604826,65,41.7571301625087,"AFLAC Incorporated","2022-08-19 16:00:01",40240414720,6.63,1.5313214,631916032,"USD","2022-06-30",5173000000,1695000000,687000000,NA,3064000000,10619000000,101290000000,512000000,14750000000,135629000000,4453000000,342000000,6034000000,7279000000,87736000000,14090000000,109242000000,135000000,43547000000,-19884000000,-548000000,26387000000,26387000000,NA,8458000000,NA,2589000000,NA,NA,"AFL"
"197","PH",-18.7225836219752,2.05598057657905,0.705140937822432,29.312191,296.91,-15.7969650702645,"Parker-Hannifin Corporation","2022-08-19 16:00:02",37967302656,10.09,4.2956533,128372000,"USD","2022-06-30",535799000,27862000,2885261000,2214553000,NA,12046644000,788057000,2122758000,110585000,25943943000,1731925000,NA,250292000,9755825000,1468880000,5859318000,17084023000,8848011000,NA,NA,NA,8848011000,-2027888000,7740082000,3135817000,110585000,NA,11909000,NA,"PH"
"198","HLT",-3.17447487989065,0.888888888888889,0.175623028878857,40.201782,135.95,-42.6779237024599,"Hilton Worldwide Holdings Inc.","2022-08-19 16:03:43",37160402944,3.37,-47.304466,274287008,"USD","2022-06-30",1175000000,NA,1289000000,NA,248000000,2840000000,64000000,881000000,680000000,15382000000,1647000000,NA,260000000,8575000000,3521000000,3195000000,16171000000,3000000,-5783000000,-5762000000,-714000000,-789000000,-11706000000,5030000000,5887000000,213000000,10753000000,NA,NA,"HLT"
"199","GPN",-3.67603005095608,0.872144110347964,0.258276117233189,428.41934,133.68,-36.1286488852077,"Global Payments Inc.","2022-08-19 16:00:02",36810018816,0.31,1.5488046,277163008,"USD","2022-06-30",1933309000,NA,989172000,NA,1775924000,5216996000,NA,1689292000,3500356000,44175824000,2126194000,1280617000,2105454000,10833813000,3333771000,5981805000,20199297000,NA,2326259000,-371178000,-371178000,23755655000,-10013525000,23496495000,10272685000,30564000,21800574000,220872000,452408000,"GPN"
"200","NUE",3.82760427987664,2.61863867393666,1.01579093388953,4.2737393,144,36.098295505038,"Nucor Corporation","2022-08-19 16:00:02",36170829824,32.33,2.1519125,261784992,"USD","2022-07-02",2002708000,363287000,4749600000,6579142000,339074000,14033811000,NA,9213600000,1062394000,31668457000,2130196000,629171000,427200000,6621685000,1834763000,5359201000,13815649000,152061000,22064383000,-7522978000,-70810000,16808644000,9449992000,3929503000,3429149000,NA,2115178000,1044164000,NA,"NUE"
"201","CARR",-12.637131515023,1.67255679769203,0.556448710257948,14.066225,42.63,-3.36152236995821,"Carrier Global Corporation","2022-08-19 16:00:02",35750445056,3.02,5.340709,841582976,"USD","2022-06-30",3017000000,NA,3535000000,2350000000,374000000,9276000000,1671000000,2400000000,790000000,23662000000,2403000000,269000000,470000000,8298000000,2336000000,5546000000,16670000000,9000000,4564000000,-3318000000,-1775000000,6696000000,-2829000000,9067000000,458000000,566000000,5441000000,296000000,NA,"CARR"
"202","DLTR",11.9262476422146,1.46443973052985,0.444582047725536,25.560974,167.67,14.0597445626035,"Dollar Tree, Inc.","2022-08-19 16:00:04",37653549056,6.56,4.587939,224556000,"USD","2022-04-30",1218500000,NA,NA,4801100000,262700000,6282300000,NA,10878900000,126800000,22372300000,1794100000,NA,1089100000,3418100000,1334900000,4289900000,14130800000,2200000,7044000000,-35300000,-35300000,8241500000,3157200000,1984300000,3100000000,19300000,1230600000,NA,NA,"DLTR"
"203","SBAC",-4.51051206425693,0.344485662266727,0.0294666674713041,106.653244,345.34,-76.3749142549918,"SBA Communications Corporation","2022-08-19 16:00:04",37162889216,3.23,-6.832814,107878000,"USD","2022-06-30",183067000,NA,169918000,NA,101116000,454101000,229956000,6036649000,490669000,10011937000,41455000,662720000,252771000,11817504000,227578000,1318200000,15410667000,1079000,-7531180000,-626473000,-626473000,-5438611000,-8239173000,NA,2800562000,29126000,2717963000,39881000,6906000,"SBAC"
"204","EA",26.55879084041,1.2414401694317,0.633579535218879,41.291138,130.48,4.91287395674438,"Electronic Arts Inc.","2022-08-19 16:00:04",36279308288,3.16,4.7634344,278044992,"USD","2022-06-30",2082000000,334000000,579000000,NA,444000000,3517000000,NA,545000000,2855000000,13192000000,70000000,NA,1768000000,1878000000,559000000,2833000000,5551000000,3000000,7567000000,71000000,71000000,7641000000,1366000000,5382000000,893000000,2327000000,NA,NA,NA,"EA"
"205","HPQ",-3.78594769454545,0.813498927558292,0.562573267303046,6.269231,34.78,-9.04132874724649,"HP Inc.","2022-08-19 16:03:29",35398610944,5.46,-18.633642,1034140032,"USD","2022-04-30",4477000000,NA,8255000000,8944000000,789000000,23515000000,68000000,3711000000,5155000000,39901000000,17004000000,665000000,5235000000,8362000000,3711000000,28906000000,41799000000,10000000,-3336000000,347000000,347000000,-1898000000,-9350000000,6801000000,651000000,2810000000,1081000000,NA,NA,"HPQ"
"206","DLR",5.82261724681879,0.564008601213717,0.0798721188555013,28.460701,132.5,22.8774842732283,"Digital Realty Trust, Inc.","2022-08-19 16:00:02",38284709888,4.58,2.262157,287408000,"USD","2022-06-30",99226000,NA,1351224000,NA,9995000,1460445000,1942549000,22073899000,647394000,35956057000,1619222000,629040000,341140000,13665267000,611582000,2589402000,18284791000,2824000,NA,-4687246000,-4687246000,16406942000,6575172000,7545107000,2286663000,NA,21091364000,532634000,249468000,"DLR"
"207","SPG",13.7280182405512,0.376113883025119,0.0525503489506637,17.318253,111.05,9.25527566656077,"Simon Property Group, Inc.","2022-08-19 16:00:01",41592229888,6.41,11.994597,327352000,"USD","2022-06-30",541240000,NA,951176000,NA,30600000,1523016000,7915224000,22407391000,1233405000,33079036000,1337984000,966436000,1711706000,23919532000,543936000,4049348000,28982034000,34000,-6012757000,-2175601000,-167895000,3029733000,3029733000,NA,NA,NA,11218057000,1025670000,888405000,"SPG"
"208","KMI",4.66976726471237,0.523505513639002,0.095538196743016,17.660378,18.67,4.00876508843691,"Kinder Morgan, Inc.","2022-08-19 16:00:01",42373468160,1.06,1.3834897,2263539968,"USD","2022-06-30",100000000,NA,2063000000,690000000,690000000,3608000000,7529000000,35530000000,1252000000,69390000000,1691000000,197000000,1751000000,28684000000,2189000000,6892000000,37765000000,23000000,-10540000000,-592000000,-592000000,30545000000,9074000000,19914000000,1557000000,NA,41654000000,1080000000,1237000000,"KMI"
"209","ALL",2.40238494695884,0.421926088262844,0.312776773314467,42.272728,130.42,54.1961405274218,"Allstate Corporation (The)","2022-08-19 16:00:01",35192537088,3.08,1.9445605,270296000,"USD","2022-06-30",766000000,4384000000,8824000000,NA,9896000000,23873000000,54016000000,975000000,8960000000,96350000000,35492000000,38000000,21051000000,7970000000,11775000000,56581000000,76326000000,9000000,52412000000,-38016000000,-2158000000,18145000000,14649000000,3496000000,5030000000,118000000,3740000000,-91000000,NA,"ALL"
"210","WELL",2.05302362044275,1.69888208427583,0.129120673485209,82.895836,79.85,38.7623424481461,"Welltower Inc.","2022-08-19 16:04:25",36874985472,0.96,1.9872147,463369984,"USD","2022-06-30",363339000,NA,1527135000,NA,265810000,2156284000,1300975000,31762319000,759219000,36573671000,NA,39296000,NA,15034544000,NA,1269237000,16699758000,464778000,NA,-6373639000,-6261948000,18556180000,17961306000,68321000,526553000,NA,24465041000,1317733000,NA,"WELL"
"211","CTSH",6.66167463465866,2.22740247383444,1.32309721175584,15.916473,68.79,10.2977105987653,"Cognizant Technology Solutions ","2022-08-19 16:00:04",35520049152,4.31,2.9736876,517784992,"USD","2022-06-30",1768000000,552000000,4163000000,NA,540000000,7023000000,68000000,2028000000,1521000000,17258000000,357000000,38000000,555000000,608000000,800000000,3153000000,5308000000,5000000,12193000000,-269000000,-269000000,11950000000,5332000000,5517000000,1101000000,473000000,21000000,NA,358000000,"CTSH"
"212","ED",1.90618169375535,0.881723582002052,0.135340037344492,22.05044,100.87,52.749432165223,"Consolidated Edison, Inc.","2022-08-19 16:03:28",35653222400,4.56,1.7459629,354582016,"USD","2022-06-30",1127000000,NA,3282000000,449000000,796000000,6016000000,844000000,50513000000,6016000000,65072000000,1547000000,322000000,1489000000,22361000000,14491000000,6823000000,44451000000,37000000,11742000000,-1149000000,-111000000,20387000000,18704000000,439000000,1244000000,NA,9757000000,234000000,3787000000,"ED"
"213","NEM",1.85248968407507,2.81803345573235,0.381792051296225,46.30851,43.58,23.4981049515428,"Newmont Corporation","2022-08-19 16:00:01",34548932608,0.94,1.6114463,793681024,"USD","2022-06-30",4307000000,51000000,364000000,1674000000,511000000,6907000000,3203000000,24131000000,2678000000,39690000000,583000000,NA,1042000000,5568000000,9565000000,2451000000,18091000000,1278000000,3056000000,-247000000,-11000000,21421000000,18650000000,2771000000,NA,209000000,17334000000,178000000,NA,"NEM"
