"","Symbol","Trade Time","Name","Ask","Market Capitalization","Earnings/Share","P/E Ratio","Price/Book","Shares Outstanding","Currency","date","cash","shortTermInvestments","netReceivables","inventory","otherCurrentAssets","totalCurrentAssets","longTermInvestments","propertyPlantEquipment","otherAssets","totalAssets","accountsPayable","shortLongTermDebt","otherCurrentLiab","longTermDebt","otherLiab","totalCurrentLiabilities","totalLiab","commonStock","retainedEarnings","treasuryStock","otherStockholderEquity","totalStockholderEquity","netTangibleAssets","goodWill","intangibleAssets","deferredLongTermAssetCharges","capitalSurplus","minorityInterest","deferredLongTermLiab","(ticker)"
"1","AAPL",2022-08-19 16:00:04,"Apple Inc.",170.85,2756463820800,6.05,28.350412,47.512466,16070800384,"USD","2022-06-25",2.7502e+10,2.0729e+10,4.2242e+10,5.433e+09,1.6386e+10,1.12292e+11,1.31077e+11,4.0335e+10,5.2605e+10,3.36309e+11,4.8343e+10,1.4009e+10,5.6539e+10,9.47e+10,5.3629e+10,1.29873e+11,2.78202e+11,6.2115e+10,5.289e+09,-9.297e+09,-9.297e+09,5.8107e+10,5.8107e+10,NA,NA,NA,NA,NA,NA,"AAPL"
"2","MSFT",2022-08-19 16:00:04,"Microsoft Corporation",285.19,2134075113472,9.52,30.057772,12.824363,7457889792,"USD","2022-06-30",1.3931e+10,9.0818e+10,4.4261e+10,3.742e+09,1.6932e+10,1.69684e+11,6.891e+09,8.7546e+10,2.1897e+10,3.6484e+11,1.9e+10,2.749e+09,5.9384e+10,4.7032e+10,3.0853e+10,9.5082e+10,1.98298e+11,8.6939e+10,8.4281e+10,-4.678e+09,-4.678e+09,1.66542e+11,8.772e+10,6.7524e+10,1.1298e+10,1.3515e+10,NA,NA,NA,"MSFT"
"3","AMZN",2022-08-19 16:00:04,"Amazon.com, Inc.",137.65,1408231931904,1.08,127.99073,10.712182,10187599872,"USD","2022-06-30",3.7478e+10,2.3232e+10,3.4597e+10,3.8153e+10,2.07e+08,1.33667e+11,3.168e+09,2.32136e+11,3.0562e+10,4.19728e+11,7.1219e+10,5.249e+09,1.2818e+10,6.4853e+10,1.6658e+10,1.40291e+11,2.88326e+11,1.07e+08,8.0043e+10,-1.2619e+10,-4.782e+09,1.31402e+11,1.11207e+11,2.0195e+10,NA,NA,6.3871e+10,NA,NA,"AMZN"
"4","TSLA",2022-08-19 16:00:04,"Tesla, Inc.",886,929596112896,8.11,109.741066,25.47005,1044489984,"USD","2022-06-30",1.8324e+10,5.91e+08,2.21e+09,8.108e+09,2.94e+08,3.1222e+10,NA,3.3684e+10,3.17e+09,6.8513e+10,1.1212e+10,1.057e+09,5.457e+09,2.095e+09,4.314e+09,2.1821e+10,3.0855e+10,1e+06,5.908e+09,-4.77e+08,-4.77e+08,3.6376e+10,3.5939e+10,1.96e+08,2.41e+08,NA,3.0944e+10,1.282e+09,NA,"TSLA"
"5","GOOGL",2022-08-19 16:00:04,"Alphabet Inc.",116.92,1534489919488,5.26,22.283268,6.001536,5996000256,"USD","2022-06-30",1.7936e+10,1.07061e+11,3.7073e+10,1.98e+09,8.321e+09,1.72371e+11,3.0665e+10,1.19621e+11,7.202e+09,3.55185e+11,4.409e+09,NA,2.8053e+10,1.285e+10,1.1981e+10,6.1354e+10,9.9766e+10,6.4402e+10,1.96845e+11,-5.828e+09,-5.828e+09,2.55419e+11,2.30093e+11,2.3949e+10,1.377e+09,1.49e+09,NA,NA,NA,"GOOGL"
"6","GOOG",2022-08-19 16:00:04,"Alphabet Inc.",117.88,1534496866304,5.27,22.413662,6.048131,6162999808,"USD","2022-06-30",1.7936e+10,1.07061e+11,3.7073e+10,1.98e+09,8.321e+09,1.72371e+11,3.0665e+10,1.19621e+11,7.202e+09,3.55185e+11,4.409e+09,NA,2.8053e+10,1.285e+10,1.1981e+10,6.1354e+10,9.9766e+10,6.4402e+10,1.96845e+11,-5.828e+09,-5.828e+09,2.55419e+11,2.30093e+11,2.3949e+10,1.377e+09,1.49e+09,NA,NA,NA,"GOOG"
"7","UNH",2022-08-19 16:00:01,"UnitedHealth Group Incorporated",548.55,512889192448,19.14,28.64786,7.0403943,935382976,"USD","2022-06-30",2.4612e+10,3.352e+09,3.1157e+10,NA,NA,6.4339e+10,4.2427e+10,9.421e+09,1.8541e+10,2.30172e+11,5.4123e+10,5.592e+09,2.8983e+10,4.5799e+10,1.4548e+10,8.8698e+10,1.49045e+11,1e+07,8.054e+10,-7.73e+09,-7.73e+09,7.282e+10,-2.2624e+10,8.4159e+10,1.1285e+10,NA,NA,8.307e+09,NA,"UNH"
"8","NVDA",2022-08-19 16:00:04,"NVIDIA Corporation",177.04,444797091840,3.729,47.86538,16.981258,2.492e+09,"USD","2022-05-01",3.887e+09,1.6451e+10,5.438e+09,3.163e+09,NA,2.9575e+10,2.85e+08,3.772e+09,5.004e+09,4.5212e+10,1.999e+09,NA,3.089e+09,1.0947e+10,1.631e+09,5.562e+09,1.8892e+10,3e+06,1.5758e+10,-6.4e+07,-6.4e+07,2.632e+10,1.9744e+10,4.365e+09,2.211e+09,1.784e+09,1.0623e+10,NA,NA,"NVDA"
"9","JNJ",2022-08-19 16:00:02,"Johnson & Johnson",169.31,445146431488,6.87,24.644833,5.829431,2629179904,"USD","2022-07-03",1.0983e+10,2.1585e+10,1.6139e+10,1.1437e+10,NA,6.3847e+10,1.861e+09,1.8354e+10,1.7088e+10,1.77724e+11,9.765e+09,NA,1.98e+09,2.8292e+10,2.8254e+10,4.4821e+10,1.01367e+11,3.12e+09,1.26216e+11,-5.2979e+10,-1.3843e+10,7.6357e+10,-2.17e+08,3.4166e+10,4.2408e+10,9.514e+09,NA,NA,NA,"JNJ"
"10","META",2022-08-19 16:00:04,"Meta Platforms, Inc.",167.19,451400892416,11.58,14.504318,3.6018186,2280669952,"USD","2022-06-30",1.2681e+10,2.7808e+10,1.1525e+10,NA,2.28e+08,5.5987e+10,6.536e+09,8.1718e+10,4.344e+09,1.69779e+11,4.008e+09,NA,1.514e+09,NA,6.469e+09,2.2217e+10,4.4012e+10,NA,6.9249e+10,-3.411e+09,-3.411e+09,1.25767e+11,1.04573e+11,2.0229e+10,9.65e+08,NA,5.9929e+10,NA,NA,"META"
"11","XOM",2022-08-19 16:03:06,"Exxon Mobil Corporation",94.05,392091598848,9.14,10.293217,2.2112536,4167640064,"USD","2022-06-30",1.8861e+10,NA,4.8063e+10,2.3585e+10,2.654e+09,9.3163e+10,3.8626e+10,2.09159e+11,2.6826e+10,3.67774e+11,6.7958e+10,NA,4.785e+09,3.9516e+10,6.364e+10,8.011e+10,1.83266e+11,1.6018e+10,4.07902e+11,-2.46604e+11,-1.5017e+10,1.77316e+11,1.77316e+11,NA,NA,NA,NA,7.192e+09,NA,"XOM"
"12","PG",2022-08-19 16:03:03,"Procter & Gamble Company (The)",150.2,357787336704,5.81,25.771084,7.8351645,2389550080,"USD","2022-06-30",7.214e+09,NA,5.143e+09,6.924e+09,NA,2.1653e+10,1.4e+08,2.1955e+10,1.0081e+10,1.17208e+11,1.4882e+10,3.647e+09,3.674e+09,2.2848e+10,1.383e+10,3.3081e+10,7.0354e+10,4.009e+09,1.12429e+11,-1.36487e+11,-1.3105e+10,4.5746e+10,-1.7633e+10,3.97e+10,2.3679e+10,NA,6.5795e+10,2.65e+08,NA,"PG"
"13","JPM",2022-08-19 16:00:02,"JP Morgan Chase & Co.",118.63,347890778112,12.47,9.513231,1.3734139,2932570112,"USD","2022-06-30",6.41879e+11,3.22137e+11,NA,1.54e+08,3.68626e+11,1.798373e+12,6.63718e+11,4.097e+10,1.278893e+12,3.841314e+12,2.763722e+12,NA,1.37891e+11,2.98852e+11,2.222e+09,3.245771e+12,3.555171e+12,4.105e+09,2.82445e+11,-1.21859e+11,-1.4369e+10,2.53305e+11,2.01384e+11,5.0697e+10,8.663e+09,NA,8.8614e+10,NA,NA,"JPM"
"14","V",2022-08-19 16:00:02,"Visa Inc.",212.75,448499023872,6.79,31.343153,13.502951,1635010048,"USD","2022-06-30",1.4047e+10,3.309e+09,3.881e+09,NA,6.272e+09,2.8971e+10,2.24e+09,3.146e+09,6.983e+09,8.541e+10,2.28e+08,3.249e+09,1.2423e+10,2.0546e+10,9.072e+09,2.0309e+10,4.9927e+10,NA,1.496e+10,-1.29e+09,-1.29e+09,3.2632e+10,-1.1438e+10,1.7977e+10,2.6093e+10,NA,1.8962e+10,NA,NA,"V"
"15","HD",2022-08-19 16:00:02,"Home Depot, Inc. (The)",320.8,330236657664,16.28,19.7371,1385.0001,1027750016,"USD","2022-07-31",1.259e+09,NA,3.725e+09,2.6088e+10,1.869e+09,3.2941e+10,NA,3.1379e+10,4.054e+09,7.5825e+10,1.4348e+10,1.218e+09,8.606e+09,3.9271e+10,3.052e+09,2.7834e+10,7.5588e+10,2.37e+08,NA,NA,NA,2.37e+08,-7.214e+09,7.451e+09,NA,NA,NA,NA,NA,"HD"
"16","CVX",2022-08-19 16:03:18,"Chevron Corporation",157.7,308667154432,14.99,10.51968,2.010147,1957430016,"USD","2022-06-30",1.2029e+10,3.41e+08,2.6746e+10,7.715e+09,6.38e+08,5.1188e+10,4.3557e+10,1.4441e+11,1.4118e+10,2.57936e+11,2.4906e+10,NA,2.922e+09,2.3005e+10,4.1248e+10,3.9121e+10,1.03374e+11,1.832e+09,1.77909e+11,-4.4746e+10,-3.731e+09,1.53554e+11,1.48891e+11,4.663e+09,NA,NA,1.8559e+10,1.008e+09,1.1844e+10,"CVX"
"17","MA",2022-08-19 16:00:02,"Mastercard Incorporated",356.9,342367698944,9.87,35.89463,55.573334,958675968,"USD","2022-06-30",5.921e+09,4.38e+08,3.175e+09,NA,5.677e+09,1.5211e+10,1.634e+09,1.95e+09,6.241e+09,3.6231e+10,6.33e+08,7.35e+08,5.015e+09,1.3746e+10,4.138e+09,1.2085e+10,2.9969e+10,NA,4.9599e+10,-4.8591e+10,-1.232e+09,6.171e+09,-5.024e+09,7.519e+09,3.676e+09,9.2e+08,5.163e+09,9.1e+07,3.964e+09,"MA"
"18","PFE",2022-08-19 16:03:29,"Pfizer, Inc.",49.13,275847020544,5.2,9.451923,3.1522577,5612349952,"USD","2022-07-03",1.78e+09,3.1524e+10,1.7738e+10,1.0454e+10,5.962e+09,6.7466e+10,1.8962e+10,1.5244e+10,1.4662e+10,1.9529e+11,6.208e+09,1.251e+09,2.8882e+10,3.45e+10,2.5911e+10,4.741e+10,1.07821e+11,4.76e+08,1.16608e+11,-1.21059e+11,-7.12e+09,8.7208e+10,8.252e+09,4.9891e+10,2.9065e+10,7.002e+09,9.1183e+10,2.61e+08,NA,"PFE"
"19","BAC",2022-08-19 16:00:01,"Bank of America Corporation",35.4,285090316288,3.2,11.0875,1.1879331,8035239936,"USD","2022-06-30",1.91602e+11,2.78497e+11,7.7393e+10,1.15e+08,1.27548e+11,9.19235e+11,9.47913e+11,2.0979e+10,1.154457e+12,3.111606e+12,1.984349e+12,5.489e+09,9.7302e+10,2.70208e+11,4.563e+09,2.557157e+12,2.842488e+12,5.9499e+10,1.97159e+11,-1.6674e+10,-1.6674e+10,2.39984e+11,1.70962e+11,6.9022e+10,NA,NA,NA,NA,NA,"BAC"
"20","KO",2022-08-19 16:00:01,"Coca-Cola Company (The)",65.16,281836126208,2.2,29.622726,12.254607,4324630016,"USD","2022-07-01",8.976e+09,2.643e+09,4.494e+09,3.621e+09,1.255e+09,2.3141e+10,1.9884e+10,9.462e+09,6.794e+09,9.3169e+10,1.3895e+10,7.88e+08,1.49e+09,3.7671e+10,1.0164e+10,2.0531e+10,6.8366e+10,1.76e+09,6.997e+10,-6.7306e+10,-1.4801e+10,2.3005e+10,-1.0883e+10,1.891e+10,1.4978e+10,1.833e+09,1.8581e+10,1.798e+09,NA,"KO"
"21","LLY",2022-08-19 16:03:11,"Eli Lilly and Company",322.77,306687967232,6.27,51.478466,35.90722,950174976,"USD","2022-06-30",2622900000,113800000,7608400000,3899400000,34700000,17115200000,2983800000,9128200000,6446900000,47063600000,1659300000,2121800000,3012300000,14782400000,8001400000,15620600000,38404400000,594100000,8.556e+09,-7351400000,-7300900000,8544700000,-2844800000,3891800000,7497700000,2371900000,6.746e+09,114500000,NA,"LLY"
"22","ABBV",2022-08-19 16:03:19,"AbbVie Inc.",141.85,250804994048,7.07,20.06365,17.115107,1768099968,"USD","2022-06-30",8.521e+09,1.44e+09,1.1237e+10,3.396e+09,1.01e+08,2.91e+10,2.44e+08,4.958e+09,5.033e+09,1.43186e+11,2.2108e+10,1.1913e+10,4.35e+08,6.1258e+10,3.2767e+10,3.4473e+10,1.28498e+11,1.8e+07,3.516e+09,-7.787e+09,-3.196e+09,1.4653e+10,-8.9198e+10,3.2028e+10,7.1823e+10,NA,1.8906e+10,3.5e+07,NA,"ABBV"
"23","PEP",2022-08-19 16:00:04,"Pepsico, Inc.",180.13,248649007104,6.63,27.174961,13.411493,1380080000,"USD","2022-06-11",5.405e+09,2.87e+08,1.0498e+10,5.287e+09,NA,2.2633e+10,3.519e+09,2.2694e+10,8.619e+09,9.3103e+10,2.1191e+10,NA,NA,3.3247e+10,1.3959e+10,2.7223e+10,7.4429e+10,2.3e+07,6.7763e+10,-5.3203e+10,-1.4416e+10,1.8553e+10,-1.7085e+10,1.8547e+10,1.7091e+10,4.345e+09,3.97e+09,1.21e+08,NA,"PEP"
"24","COST",2022-08-19 16:00:05,"Costco Wholesale Corporation",553.49,245636284416,12.7,43.663784,12.303205,442963008,"USD","2022-05-08",1.1193e+10,6.38e+08,1.991e+09,1.7623e+10,1.563e+09,3.3008e+10,NA,2.6874e+10,3.97e+09,6.3852e+10,1.7651e+10,7.7e+07,8.199e+09,6.507e+09,2.535e+09,3.1845e+10,4.3339e+10,4e+06,1.4294e+10,-1.602e+09,-1.602e+09,1.9968e+10,1.9968e+10,NA,NA,NA,7.272e+09,5.45e+08,NA,"COST"
"25","TMO",2022-08-19 16:00:01,"Thermo Fisher Scientific Inc",588,230587400192,18.79,31.32251,5.4521623,391788992,"USD","2022-07-02",1.888e+09,NA,8.892e+09,5.668e+09,1.652e+09,1.81e+10,9.8e+07,8.529e+09,4.208e+09,9.0579e+10,2.586e+09,1.01e+09,2.738e+09,2.925e+10,7.861e+09,1.0997e+10,4.8108e+10,4.4e+08,3.9074e+10,-1.3688e+10,-2.724e+09,4.2293e+10,-1.7351e+10,4.1066e+10,1.8578e+10,NA,1.6467e+10,1.78e+08,NA,"TMO"
"26","MRK",2022-08-19 16:03:22,"Merck & Company, Inc.",92.12,233264431104,6.55,14.058015,5.394259,2533280000,"USD","2022-06-30",9.675e+09,4.53e+08,1.0983e+10,5.535e+09,5.469e+09,3.2116e+10,1.714e+09,2.0059e+10,9.496e+09,1.07095e+11,4.264e+09,NA,4.223e+09,2.8684e+10,1.1925e+10,2.3168e+10,6.3777e+10,1.788e+09,5.8437e+10,-6.1097e+10,-4.327e+09,4.3243e+10,-4.67e+08,2.1213e+10,2.2497e+10,NA,4.4115e+10,7.5e+07,NA,"MRK"
"27","AVGO",2022-08-19 16:00:04,"Broadcom Inc.",547.59,222102077440,19.83,27.65658,10.6216955,404977984,"USD","2022-05-01",9.005e+09,NA,3.083e+09,1.668e+09,3.65e+08,1.481e+10,NA,2.262e+09,1.803e+09,7.1719e+10,1.069e+09,2.69e+08,4.788e+09,3.9135e+10,4.655e+09,6.91e+09,5.0729e+10,NA,NA,-1.15e+08,-1.15e+08,2.0963e+10,-3.1881e+10,4.3603e+10,9.241e+09,NA,2.1078e+10,NA,NA,"AVGO"
"28","DIS",2022-08-19 16:03:15,"Walt Disney Company (The)",119.84,219022426112,1.7,70.670586,2.3430521,1823059968,"USD","2022-07-02",1.2959e+10,NA,1.3685e+10,3.492e+09,1.286e+09,3.1422e+10,3.236e+09,3.3583e+10,4.2554e+10,2.04074e+11,2.0858e+10,3.862e+09,4.266e+09,4.6022e+10,2.149e+10,3.0704e+10,9.8216e+10,5.6087e+10,4.3462e+10,-7.049e+09,-6.142e+09,9.25e+10,-7.79e+08,7.7945e+10,1.5334e+10,NA,NA,1.3358e+10,NA,"DIS"
"29","ADBE",2022-08-19 16:00:04,"Adobe Inc.",423.75,198925729792,9.91,42.891525,14.315473,4.68e+08,"USD","2022-06-03",3.365e+09,1.934e+09,1.588e+09,NA,1.28e+08,7.908e+09,NA,2.22e+09,1.747e+09,2.6326e+10,3.66e+08,4.99e+08,4.815e+09,3.627e+09,8.87e+08,7.385e+09,1.2341e+10,NA,2.6022e+10,-2.1139e+10,-1.95e+08,1.3985e+10,-4.66e+08,1.2801e+10,1.65e+09,8.82e+08,9.102e+09,NA,NA,"ADBE"
"30","CSCO",2022-08-19 16:00:04,"Cisco Systems, Inc.",48.7,201664757760,2.78,17.517986,5.0544887,4140960000,"USD","2022-07-30",7.079e+09,1.2188e+10,1.0527e+10,2.568e+09,4.355e+09,3.6717e+10,NA,1.997e+09,1.4415e+10,9.4002e+10,2.281e+09,NA,1.8944e+10,8.416e+09,2.0173e+10,2.564e+10,5.4229e+10,3.9773e+10,NA,NA,NA,3.9773e+10,-1.1e+09,3.8304e+10,2.569e+09,4.449e+09,NA,NA,NA,"CSCO"
"31","ACN",2022-08-19 16:00:01,"Accenture plc",315.24,199596228608,10.31,30.58099,9.322866,632547968,"USD","2022-05-31",6703568000,4322000,12219074000,NA,2080776000,21007740000,331503000,4844114000,7412398000,46095198000,2384352000,8768000,5237389000,51546000,4774848000,16562592000,24083475000,72000,17177358000,-6322618000,-200216000,21389094000,8889651000,12499443000,NA,4013089000,10534282000,622629000,826042000,"ACN"
"32","MCD",2022-08-19 16:00:01,"McDonald's Corporation",266.47,196098015232,8.12,32.825123,-30.785402,735716992,"USD","2022-06-30",1872500000,NA,1836700000,43300000,115500000,4919300000,1.074e+09,36128700000,4403400000,49247800000,739400000,NA,503800000,34637400000,5180700000,3480100000,55617600000,16600000,57785100000,-72550200000,-2246400000,-6369800000,-9092200000,2722400000,NA,NA,8378700000,NA,NA,"MCD"
"33","WMT",2022-08-19 16:00:01,"Walmart Inc.",137.14,375592386560,5,27.404001,4.832987,2741149952,"USD","2022-07-31",1.3923e+10,NA,7.522e+09,5.9921e+10,NA,8.4164e+10,NA,1.14392e+11,1.9979e+10,2.47199e+11,5.4191e+10,5.316e+09,3.917e+09,2.9801e+10,1.4092e+10,9.9899e+10,1.61352e+11,2.72e+08,8.2519e+10,-9.894e+09,-9.894e+09,7.7569e+10,4.8905e+10,2.8664e+10,NA,NA,4.672e+09,8.278e+09,NA,"WMT"
"34","ABT",2022-08-19 16:03:56,"Abbott Laboratories",110.58,192739262464,4.79,22.977036,5.2819505,1751219968,"USD","2022-06-30",8.937e+09,3.53e+08,7.199e+09,5.899e+09,5.63e+08,2.4956e+10,4.31e+08,8.818e+09,5.661e+09,7.4202e+10,4.493e+09,5e+06,1.351e+09,1.6836e+10,8.258e+09,1.2392e+10,3.7486e+10,2.4429e+10,3.4487e+10,-2.2426e+10,-8.706e+09,3.649e+10,2.154e+09,2.2744e+10,1.1592e+10,NA,NA,2.26e+08,NA,"ABT"
"35","DHR",2022-08-19 16:03:23,"Danaher Corporation",292.69,212734017536,8.49,34.445232,4.73495,727444992,"USD","2022-07-01",3.984e+09,NA,4.615e+09,3.257e+09,NA,1.3229e+10,1.5e+07,4.794e+09,3.585e+09,8.1806e+10,2.419e+09,1e+07,NA,2.0052e+10,6.497e+09,7.556e+09,3.5205e+10,9e+06,3.5808e+10,-2.745e+09,-2.745e+09,4.4926e+10,-1.5257e+10,3.9276e+10,2.0907e+10,NA,1.1854e+10,7e+06,NA,"DHR"
"36","CRM",2022-08-19 16:00:02,"Salesforce, Inc.",183.25,182851158016,0.99,185.62627,3.1025984,9.95e+08,"USD","2022-04-30",6.859e+09,6.644e+09,3.952e+09,NA,1.478e+09,2.0411e+10,4.936e+09,5.781e+09,5.016e+09,9.3022e+10,2.907e+09,1.002e+09,1.3636e+10,9.595e+09,1.628e+09,1.9899e+10,3.4146e+10,1e+06,7.405e+09,-3.1e+08,-3.1e+08,5.8876e+10,1.998e+09,4.8319e+10,8.559e+09,2.627e+09,5.178e+10,NA,2.389e+09,"CRM"
"37","VZ",2022-08-19 16:00:02,"Verizon Communications Inc.",44.37,186551107584,5.01,8.866266,2.1688392,4199709952,"USD","2022-06-30",1.857e+09,1.9e+07,2.4606e+10,3.646e+09,3.853e+09,3.7499e+10,1.595e+09,1.28408e+11,1.3997e+10,3.70147e+11,2.0956e+10,1.3293e+10,1.1063e+10,1.3795e+11,7.1586e+10,4.9224e+10,2.8279e+11,4.29e+08,7.6401e+10,-4.686e+09,-6.66e+08,8.6016e+10,-1.02632e+11,2.8638e+10,1.6001e+11,NA,1.3872e+10,1.341e+09,2.309e+09,"VZ"
"38","NEE",2022-08-19 16:00:02,"NextEra Energy, Inc.",90.02,176260415488,1.3,69.00769,4.8371615,1964780032,"USD","2022-06-30",2.861e+09,NA,5.131e+09,1.642e+09,4.698e+09,1.4332e+10,1.4298e+10,1.05393e+11,1.2904e+10,1.5177e+11,7.592e+09,7.25e+09,8.093e+09,5.3382e+10,2.696e+10,2.6821e+10,1.07163e+11,2e+07,2.5169e+10,-5.9e+07,-5.9e+07,3.6439e+10,3.1596e+10,4.843e+09,NA,NA,1.1309e+10,8.168e+09,4.841e+09,"NEE"
"39","WFC",2022-08-19 16:03:14,"Wells Fargo & Company",45.25,172014813184,4.17,10.875299,1.087843,3793050112,"USD","2022-06-30",2.09692e+11,NA,3.0683e+10,1.3e+08,1.4812e+10,3.953e+11,4.59877e+11,1.8225e+10,9.71995e+11,1.881142e+12,1.425153e+12,6.81e+09,NA,1.43456e+11,NA,1.55341e+12,1.701349e+12,9.136e+09,1.84475e+11,-9.5514e+10,-1.0608e+10,1.58121e+11,1.32762e+11,2.5178e+10,1.0567e+10,NA,6.0024e+10,2.261e+09,NA,"WFC"
"40","CMCSA",2022-08-19 16:00:04,"Comcast Corporation",38.71,170704109568,3.07,12.599349,1.8671559,4403789824,"USD","2022-06-30",6.822e+09,NA,1.1956e+10,NA,5.414e+09,2.4192e+10,7.598e+09,5.3508e+10,2.5155e+10,2.67032e+11,1.2304e+10,2.083e+09,4.535e+09,9.663e+10,4.9746e+10,2.7585e+10,1.73961e+11,5.3e+07,6.1209e+10,-9.688e+09,-2.171e+09,9.1426e+10,-6.5153e+10,6.6486e+10,9.0093e+10,NA,3.9852e+10,1.645e+09,1.066e+09,"CMCSA"
"41","QCOM",2022-08-19 16:00:04,"QUALCOMM Incorporated",147.3,165754814464,11.28,13.085107,10.319513,1123000064,"USD","2022-06-26",2.676e+09,4.172e+09,3.804e+09,5.418e+09,2.929e+09,1.8999e+10,NA,5.038e+09,1.031e+10,4.702e+10,3.752e+09,NA,4.554e+09,1.36e+10,5.543e+09,1.1829e+10,3.0972e+10,NA,1.583e+10,2.18e+08,2.18e+08,1.6048e+10,3.375e+09,1.0719e+10,1.954e+09,1.778e+09,NA,NA,NA,"QCOM"
"42","TXN",2022-08-19 16:00:04,"Texas Instruments Incorporated",176.39,161223606272,9.14,19.30525,11.457048,913707008,"USD","2022-06-30",3.802e+09,4.585e+09,2.19e+09,2.199e+09,NA,1.3043e+10,NA,5.931e+09,1.305e+09,2.4723e+10,7.12e+08,4.99e+08,1.15e+08,6.745e+09,1.326e+09,2.56e+09,1.0631e+10,1.741e+09,4.828e+10,-3.8712e+10,-1.8e+08,1.4092e+10,9.648e+09,4.362e+09,8.2e+07,2.93e+08,2.783e+09,NA,NA,"TXN"
"43","AMD",2022-08-19 16:00:04,"Advanced Micro Devices, Inc.",95.46,154893991936,2.29,41.899563,2.8035882,1614320000,"USD","2022-06-25",4.964e+09,1.028e+09,4.053e+09,2.648e+09,7.69e+08,1.3462e+10,7.6e+07,1.923e+09,1.184e+09,6.7502e+10,1.879e+09,3.12e+08,2.58e+08,2.465e+09,3.923e+09,5.523e+09,1.2333e+10,1.6e+07,-2.18e+08,-1.926e+09,-3.3e+07,5.5169e+10,4.312e+09,2.4193e+10,2.6664e+10,3.2e+07,5.7297e+10,NA,NA,"AMD"
"44","BMY",2022-08-19 16:00:02,"Bristol-Myers Squibb Company",75.27,160849149952,3.01,25.026579,4.9335256,2135260032,"USD","2022-06-30",1.075e+10,2.516e+09,1.254e+10,2.142e+09,2.238e+09,3.0186e+10,1.973e+09,6.81e+09,3.252e+09,1.00357e+11,2.882e+09,4.646e+09,4.152e+09,3.7116e+10,8.85e+09,2.0915e+10,6.7696e+10,2.92e+08,2.4217e+10,-3.6284e+10,-9.92e+08,3.26e+10,-2.5536e+10,2.0446e+10,3.769e+10,1.337e+09,4.4375e+10,6.1e+07,5.72e+08,"BMY"
"45","LIN",2022-08-19 16:03:55,"Linde plc",309.93,151378673664,6.76,44.93343,3.8155713,498366016,"USD","2022-06-30",3.655e+09,NA,4.881e+09,1.786e+09,6.9e+07,1.1272e+10,NA,2.3993e+10,4.308e+09,7.7885e+10,3.36e+09,1.651e+09,7.069e+09,1.1177e+10,1.0373e+10,1.5295e+10,3.6845e+10,1e+06,1.9159e+10,-1.9464e+10,-6.466e+09,3.9674e+10,1.362e+09,2.5678e+10,1.2634e+10,NA,3.9978e+10,1.366e+09,NA,"LIN"
"46","PM",2022-08-19 16:00:02,"Philip Morris International Inc",100.13,155217510400,5.83,17.174957,-17.163181,1550160000,"USD","2022-06-30",5.036e+09,NA,4.593e+09,7.551e+09,1.196e+09,1.8376e+10,4.328e+09,5.965e+09,3.317e+09,4.096e+10,3.279e+09,4.149e+09,3.069e+09,2.2263e+10,5.328e+09,2.0547e+10,4.822e+10,NA,3.3755e+10,-4.4964e+10,-9.043e+09,-9.044e+09,-1.8018e+10,6.318e+09,2.656e+09,7.14e+08,2.165e+09,1.784e+09,NA,"PM"
"47","UPS",2022-08-19 16:03:05,"United Parcel Service, Inc.",208.4,181056471040,12.45,16.741365,11.132297,731854016,"USD","2022-06-30",1.1735e+10,3.36e+08,1.1746e+10,NA,1.754e+09,2.5571e+10,NA,3.6923e+10,1.444e+09,7.0089e+10,7.168e+09,2.501e+09,1.619e+09,1.771e+10,1.5477e+10,1.7337e+10,5.3779e+10,9e+06,1.8958e+10,-3.251e+09,-3.239e+09,1.6289e+10,1.0138e+10,3.675e+09,2.476e+09,1.58e+08,5.73e+08,2.1e+07,NA,"UPS"
"48","UNP",2022-08-19 16:00:02,"Union Pacific Corporation",240.29,148950728704,10.73,22.229265,11.731838,624478976,"USD","2022-06-30",7.88e+08,4.6e+07,2.052e+09,7.9e+08,3e+08,3.976e+09,2.287e+09,5.6292e+10,1.156e+09,6.444e+10,8.96e+08,2.302e+09,1.443e+09,2.9415e+10,1.476e+10,6.002e+09,5.173e+10,2.781e+09,5.6958e+10,-5.2059e+10,-8.41e+08,1.271e+10,1.1981e+10,NA,7.29e+08,NA,5.03e+09,NA,NA,"UNP"
"49","INTC",2022-08-19 16:00:05,"Intel Corporation",35.29,145270276096,4.66,7.592275,1.435236,4105999872,"USD","2022-07-02",4.39e+09,2.2654e+10,6.538e+09,1.2174e+10,4.832e+09,5.0588e+10,5.929e+09,7.166e+10,8.227e+09,1.70418e+11,7.945e+09,2.882e+09,1.239e+09,3.2548e+10,9.434e+09,2.7218e+10,6.92e+10,2.9858e+10,7.2985e+10,-1.625e+09,-1.625e+09,1.01218e+11,6.7204e+10,2.7587e+10,6.427e+09,NA,NA,NA,NA,"INTC"
