"","Symbol","Price/Book Ratio","CurrentRatio","NetCurrentRatio","P.E.Ratio","Ask","BookPrice","Name","Trade.Time","Market.Capitalization","Earnings.Share","Price.Book","Shares.Outstanding","Currency","date","cash","netReceivables","totalCurrentAssets","longTermInvestments","propertyPlantEquipment","goodWill","intangibleAssets","otherAssets","deferredLongTermAssetCharges","totalAssets","otherCurrentLiab","otherLiab","minorityInterest","totalCurrentLiabilities","totalLiab","commonStock","retainedEarnings","treasuryStock","capitalSurplus","otherStockholderEquity","totalStockholderEquity","netTangibleAssets","otherCurrentAssets","accountsPayable","deferredLongTermLiab","shortLongTermDebt","shortTermInvestments","inventory","longTermDebt","X.ticker."
"127","ALHC",5.51040470317098,3.29670781423074,1.73990815182672,NA,8.53,1.54798068809348,"Alignment Healthcare, Inc.","2022-02-25 16:00:03",1597174272,-10.946,4.9135942,187242000,"USD","2021-09-30",500485000,47671000,577392000,NA,39777000,29303000,5910000,4545000,NA,656927000,NA,NA,15000,175142000,331852000,188000,-527023000,NA,851895000,NA,325060000,289847000,NA,16557000,NA,NA,NA,NA,148967000,"ALHC"
"128","ALIM",-1.12017120676033,3.82779191157119,0.745060874613664,NA,4.99,-4.19578706139245,"Alimera Sciences, Inc.","2022-02-25 16:00:04",32609304,-0.2,-1.8366549,6938150,"USD","2021-09-30",21524000,16210000,43633000,NA,3383000,NA,11386000,1663000,712000,60065000,NA,2548000,NA,11399000,58563000,69000,-393175000,-1198000,376579000,-1198000,-17725000,-29111000,34000,7437000,NA,NA,NA,2301000,42838000,"ALIM"
"129","ALJJ",-4.20305222230693,1.42929541518549,0.399242293081851,NA,2.63,-0.618598026824621,"ALJ Regional Holdings, Inc.","2022-02-25 16:00:04",110262872,-0.282,34.210526,42408800,"USD","2021-12-31",2069000,60473000,78404000,NA,90238000,NA,29462000,1506000,NA,199610000,9691000,5353000,NA,54855000,196382000,424000,-285595000,NA,288399000,NA,3228000,-26234000,1500000,14158000,5e+05,2634000,NA,7505000,104197000,"ALJJ"
"130","ALKT",4.92084587672942,10.3970419904814,3.7558732956833,NA,15.59,3.23724089911429,"Alkami Technology, Inc.","2022-02-25 16:00:03",1404192896,-0.73,4.074654,88147904,"USD","2021-12-31",308581000,20821000,345161000,NA,11828000,48091000,11164000,20266000,NA,436510000,8903000,35648000,NA,33198000,91899000,90000,-313853000,NA,658374000,NA,344611000,285356000,6272000,3649000,17991000,1563000,NA,NA,23053000,"ALKT"
"131","ALLK",0.577765770093775,13.0824902149029,5.50582750582751,NA,5.59,9.65789289567584,"Allakos Inc.","2022-02-25 16:00:03",303068768,-4.138,0.5775202,54313400,"USD","2021-09-30",274420000,NA,531450000,NA,77503000,NA,NA,12125000,NA,621078000,5135000,NA,NA,40623000,96525000,54000,-518460000,19000,1042940000,19000,524553000,524553000,NA,8808000,NA,NA,231187000,NA,NA,"ALLK"
"132","ALLO",1.46894654116189,9.78376302569851,3.8560968026966,NA,9.4,6.4301973111791,"Allogene Therapeutics, Inc.","2022-02-25 16:00:04",1346151424,-1.892,1.4677043,142516000,"USD","2021-12-31",173314000,NA,471323000,370184000,181020000,NA,NA,16107000,NA,1038634000,423000,4125000,NA,48174000,122228000,142000,-903348000,-2567000,1822179000,-2567000,916406000,916406000,NA,10255000,NA,NA,283988000,NA,NA,"ALLO"
"133","ALLR",1.16468953815874,2.04612388949738,2.02769849246231,NA,5.17,3.64904121191408,"Allarity Therapeutics, Inc.","2022-02-25 16:00:03",34322236,-0.056,13.578275,8075820,"USD","2021-09-30",35860000,13359000,50439000,3152000,753000,NA,96720000,NA,NA,151064000,18668000,NA,NA,24651000,24875000,20190000,-379325000,330000,484994000,330000,126189000,29469000,NA,5353000,NA,NA,NA,NA,NA,"ALLR"
"134","ALNA",1.36276327314637,5.46774403753421,2.35168161434978,NA,0.4172,0.30489519008218,"Allena Pharmaceuticals, Inc.","2022-02-25 16:00:03",35472728,-0.837,1.2784616,85373600,"USD","2021-09-30",40421000,NA,41954000,NA,1788000,NA,NA,128000,NA,43870000,1661000,NA,NA,7673000,17840000,80000,-236089000,NA,262039000,NA,26030000,26030000,NA,3027000,NA,NA,NA,NA,9893000,"ALNA"
"135","ALNY",31.6770747514039,4.03699242500467,0.919307086737885,NA,159.8,4.89312869145662,"Alnylam Pharmaceuticals, Inc.","2022-02-25 16:00:04",18632550400,-7.2,31.671434,120210000,"USD","2021-12-31",819975000,198571000,2808576000,NA,733633000,NA,NA,101095000,NA,3643304000,209405000,1402347000,NA,695710000,3055101000,1202000,-5438193000,-33259000,6058453000,-33259000,588203000,588203000,NA,73426000,NA,NA,1615589000,86363000,675697000,"ALNY"
"136","ALOR",18702.9693004529,0.0778166515183585,0.0778166515183585,NA,9.92,0.000656317093311313,"ALSP Orchid Acquisition Corpora","2022-02-24 15:23:38",222976800,NA,3306.6667,18165000,"USD","2021-09-30",25000,NA,25000,NA,NA,NA,NA,308190,NA,333190,75202,NA,NA,321268,321268,431,-13078,NA,24569,NA,11922,11922,NA,232988,308190,NA,NA,NA,NA,"ALOR"
"137","ALOT",2.14667289048474,3.41327715659266,1.88965311004785,13.481818,25,6.90836528205369,"AstroNova, Inc.","2022-02-25 16:00:03",107612712,1.1,1.3055726,7256420,"USD","2021-10-30",8727000,16351000,63190000,NA,12780000,12415000,19637000,7600000,5942000,115622000,3790000,5704000,NA,18513000,33440000,528000,57272000,-35120000,59502000,-1176000,82182000,50130000,1e+05,6866000,1200000,938000,NA,31661000,8397000,"ALOT"
"138","ALPA",-43.387331073505,9.46968088219311,0.00708062131892902,NA,9.65,-0.276110699019361,"Alpha Healthcare Acquisition Co","2022-02-18 15:29:10",190573168,NA,-43.423424,15908000,"USD","2021-09-30",849646,NA,1132678,NA,NA,NA,NA,154443683,NA,155576361,119288,159849119,NA,119611,159968730,432,-4392801,NA,NA,NA,-4392369,-4392369,NA,NA,NA,NA,NA,NA,NA,"ALPA"
"139","ALPN",2.03643336454305,2.87408693475983,1.66055758890244,NA,19,4.20342776572371,"Alpine Immune Sciences, Inc.","2022-02-25 16:00:04",250124928,-1.723,2.0361562,29220200,"USD","2021-09-30",76099000,554000,183749000,39064000,10352000,NA,NA,315000,61000,233480000,48551000,30961000,NA,63933000,110655000,29000,-151032000,15000,273813000,15000,122825000,122825000,1827000,1839000,NA,4594000,104529000,NA,4547000,"ALPN"
"140","ALPP",19.8199666668637,1.39153893772336,0.696326783691019,NA,1.62,0.0917981597059477,"Alpine 4 Holdings, Inc.","2022-02-25 16:00:03",295017984,-0.071,5.4208755,162148000,"USD","2021-09-30",5425913,16645854,32976648,1350000,27668308,5866454,29001665,248257,NA,97111332,3486331,428199,NA,23697970,47358006,16741,-46570554,NA,96306820,NA,49753007,14884888,NA,5653158,NA,5818741,NA,9632121,7522462,"ALPP"
"141","ALR",0.432128656129574,1.51304639171045,1.03627317095012,NA,3.89,6.03986746540179,"AlerisLife Inc.","2022-02-25 16:00:03",82868016,-0.521,0.43219075,31750200,"USD","2021-09-30",80188000,41862000,185153000,11000,170178000,NA,NA,15097000,NA,370439000,3716000,37002000,NA,122371000,178672000,318000,-270330000,981000,460798000,981000,191767000,191767000,38463000,16440000,NA,409000,10809000,NA,6473000,"ALR"
"142","ALRM",8.37114783331676,8.56320866974146,1.52048312266126,57.119095,65.22,7.83247836613371,"Alarm.com Holdings, Inc.","2022-02-25 16:00:02",3282301952,1.142,5.4645224,50060400,"USD","2021-09-30",700307000,90624000,870767000,NA,72323000,112901000,92176000,33587000,11430000,1181754000,11665000,17570000,11889000,101687000,572691000,501000,109687000,-5149000,492135000,NA,597174000,392097000,8910000,40519000,NA,NA,NA,56526000,421112000,"ALRM"
"143","ALRN",0.759163264084296,11.9348684210526,11.6812620734063,NA,0.42,0.55324067940327,"Aileron Therapeutics, Inc.","2022-02-25 16:00:03",38040912,-0.319,0.7594937,90573600,"USD","2021-09-30",7603000,NA,54423000,NA,321000,NA,NA,24000,NA,54768000,16000,NA,NA,4560000,4659000,91000,-238657000,1000,288674000,1000,50109000,50109000,25000,1035000,NA,NA,44629000,NA,NA,"ALRN"
"144","ALRS",1.62244211361132,0.100409079890104,0.0983167440744169,9.76431,28.88,17.8742897644749,"Alerus Financial Corporation","2022-02-25 16:00:02",499165408,2.97,1.388889,17212600,"USD","2021-12-31",242311000,NA,298223000,1205710000,22097000,31490000,22130000,1813041000,11614000,3392691000,NA,NA,NA,2970080000,3033288000,17213000,253567000,-4255000,92878000,-4255000,359403000,307663000,55027000,2920551000,NA,NA,NA,885000,58933000,"ALRS"
"145","ALSA",11014.7723193916,1.04383333333333,1.04383333333333,NA,9.85,0.000894253655219313,"Alpha Star Acquisition Corporat","2022-02-25 14:58:15",144844256,NA,1970.0001,14705000,"USD","2021-09-30",NA,NA,313150,NA,NA,NA,NA,NA,NA,313150,NA,NA,NA,3e+05,3e+05,2875,-11850,NA,22125,NA,13150,13150,313150,NA,NA,NA,NA,NA,NA,"ALSA"
"146","ALT",1.54078566861041,11.4112617330959,7.89589487181305,NA,7.62,4.93903876835117,"Altimmune, Inc.","2022-02-25 16:00:04",302410752,-2.11,1.4404695,39738600,"USD","2021-09-30",174863565,11050195,218263032,NA,5562368,NA,12993575,87682,NA,236906657,19753,7285487,NA,19126985,27642596,3959,-269282102,-5040163,483582367,-5040163,209264061,196270486,34174,6083,NA,NA,25020738,NA,NA,"ALT"
"147","ALTO",1.34763414948581,2.68328438802577,1.27153663135213,NA,5.6,4.1554816087758,"Alto Ingredients, Inc.","2022-02-25 16:00:03",407682240,-0.168,1.3358779,72799504,"USD","2021-09-30",36029000,78424000,226598000,NA,237034000,NA,2678000,17094000,NA,483404000,19703000,13774000,NA,84448000,178208000,73000,-727608000,-3878000,1036608000,-3878000,305195000,302517000,48548000,28387000,NA,17687000,NA,63597000,70621000,"ALTO"
"148","ALTR",18.9311978339722,1.66574206084577,1.40581144580213,NA,65,5.3521692475807,"Altair Engineering Inc.","2022-02-25 16:00:03",5146143232,-0.072,8.490714,50789500,"USD","2021-09-30",455858000,100530000,579505000,NA,69627000,268888000,61540000,34923000,8221000,1014483000,87795000,42715000,NA,347896000,412221000,8000,-100690000,-8138000,711082000,-8138000,602262000,271834000,5300000,4900000,5e+05,196796000,NA,NA,NA,"ALTR"
"149","ALTU",-12.0101510003718,1.3209726481277,0.0012918531535253,NA,9.94,-1.03350076666667,"Altitude Acquisition Corp.","2022-02-25 15:59:58",372375008,NA,-12.007256,3e+07,"USD","2021-09-30",134055,NA,428188,NA,NA,NA,NA,300019322,NA,300447510,NA,331128387,NA,324146,331452533,750,-31005773,NA,NA,NA,-31005023,-31005023,NA,232057,NA,NA,NA,NA,NA,"ALTU"
"150","ALVR",2.63103907380608,6.69294375610916,4.13103313331594,NA,9.88,3.44730700660336,"AlloVir, Inc.","2022-02-25 16:00:04",592683648,-2.739,2.4335926,65345500,"USD","2021-12-31",201661000,50000,253348000,NA,31292000,NA,NA,1954000,NA,286594000,1007000,NA,NA,37853000,61328000,7000,-297065000,-155000,522479000,-155000,225266000,225266000,NA,8361000,NA,NA,46459000,NA,NA,"ALVR"
"151","ALXO",1.77171906576802,31.1469410634209,26.7218329211322,NA,28,9.51053716712552,"ALX Oncology Holdings Inc.","2022-02-25 16:00:03",682416576,-1.863,1.7710743,40499500,"USD","2021-09-30",385149000,NA,388963000,NA,3362000,NA,NA,7403000,NA,399728000,809000,NA,NA,12488000,14556000,40000,-173547000,NA,558679000,NA,385172000,385172000,NA,3683000,NA,NA,NA,NA,NA,"ALXO"
"152","ALZN",7.84450947459547,9.82788439055633,9.82788439055633,NA,1.23,0.1465993512691,"Alzamend Neuro, Inc.","2022-02-25 16:00:02",102177960,-0.103,7.823129,88850400,"USD","2021-10-31",13572692,16210,14500896,NA,NA,NA,NA,NA,NA,14500896,NA,NA,NA,1475485,1475485,8885,-22752233,-14883295,50652054,-14883295,13025411,13025411,NA,1128410,NA,NA,NA,NA,NA,"ALZN"
"153","AMAL",0.990300002743961,0.0929649612861661,0.0906974031376004,10.351191,17.36,17.5603354952281,"Amalgamated Financial Corp.","2022-02-25 16:00:04",541352448,1.68,0.960296,31130100,"USD","2021-12-31",330485000,NA,590909000,2963835000,44850000,12936000,4151000,3462364000,26719000,7079045000,NA,25755000,133000,6356255000,6515170000,311000,260047000,5409000,297975000,5409000,563742000,546655000,31099000,6356255000,NA,NA,229018000,307000,8.5e+07,"AMAL"
"154","AMAO",34.2345255804928,769.636,0.00561531815155408,NA,12.89,0.294439599470999,"American Acquisition Opportunit","2022-02-25 14:32:02",133383600,NA,32.62136,13232500,"USD","2021-09-30",366772,5381,577227,NA,NA,NA,NA,106114011,NA,106691238,NA,102794316,NA,750,102795066,368,2541322,NA,1354482,NA,3896172,3896172,NA,750,NA,NA,NA,NA,NA,"AMAO"
"155","AMAT",14.4905950664903,2.50750319284802,1.16021568917122,18.90514,135.79,9.36607537004838,"Applied Materials, Inc.","2022-02-25 16:00:03",120518279168,7.179,10.14729,887992000,"USD","2022-01-30",5.264e+09,4.405e+09,1.5707e+10,2.026e+09,1.974e+09,3.479e+09,9.4e+07,2.148e+09,2.148e+09,2.5428e+10,2.397e+09,1.82e+09,NA,6.264e+09,1.3538e+10,1.189e+10,NA,NA,NA,NA,1.189e+10,8.317e+09,1.039e+09,3.867e+09,NA,NA,4.73e+08,4.526e+09,5.454e+09,"AMAT"
"156","AMBA",10.5815987705364,6.80446954753182,5.33398002305033,NA,150,13.1709775667444,"Ambarella, Inc.","2022-02-25 16:00:02",5157122048,-0.822,9.723714,37003100,"USD","2021-10-31",457760000,46176000,555374000,NA,20456000,26601000,15267000,15657000,11467000,633355000,7822000,13448000,NA,81619000,104120000,17000,109065000,NA,420153000,NA,529235000,487367000,10000,27071000,NA,NA,NA,47039000,NA,"AMBA"
"157","AMCI",-17.508020986149,3.45139464745303,0.0069494587215147,NA,0,-0.6879204,"AMCI Acquisition Corp. II","2022-02-25 15:25:32",180661872,NA,-17.518726,1.5e+07,"USD","2021-09-30",758091,NA,1123781,NA,NA,NA,NA,150265115,NA,151388896,NA,161382100,NA,325602,161707702,375,-10319181,NA,NA,NA,-10318806,-10318806,NA,3000,NA,NA,NA,NA,NA,"AMCI"
"158","AMCX",-0.870300638141308,1.89038309776625,0.438404138150216,7.0814557,40.9,-64.403318690781,"AMC Networks Inc.","2022-02-25 16:00:04",1731487488,5.77,2.0344553,30891700,"USD","2021-12-31",892221000,884795000,2000186000,137200000,351657000,709344000,2131272000,419287000,11334000,5748946000,609800000,547781000,335433000,1058085000,4562425000,770000,2098047000,-1595700000,347971000,-175818000,851088000,-1989528000,10247000,173207000,NA,33750000,NA,NA,2804720000,"AMCX"
"159","AMD",28.6349121488372,2.02429245283019,1.74380333197887,47.105057,120.75,4.22770622357684,"Advanced Micro Devices, Inc.","2022-02-25 16:00:03",197008195584,2.57,19.491224,1627360000,"USD","2021-12-25",2.535e+09,2.708e+09,8.583e+09,6.9e+07,1.069e+09,2.89e+08,3.28e+08,2.081e+09,9.31e+08,1.2419e+10,2.7e+07,3.33e+08,NA,4.24e+09,4.922e+09,1.2e+07,-1.451e+09,-2.133e+09,1.1069e+10,-3e+06,7.497e+09,6.88e+09,NA,1.406e+09,NA,3.12e+08,1.073e+09,1.955e+09,1e+06,"AMD"
"160","AMED",-13.8673089439761,0.952981976157015,0.405025861726348,25.22082,162.81,-11.530715530145,"Amedisys Inc","2022-02-25 16:00:03",5213123584,6.34,5.581541,32602400,"USD","2021-12-31",42694000,274961000,356684000,NA,119692000,1196090000,111190000,73312000,289000,1856968000,NA,4979000,44972000,374282000,880645000,38000,639063000,-435868000,728118000,NA,931351000,-375929000,28673000,38217000,NA,12995000,NA,NA,432075000,"AMED"
"161","AMEH",25.7529585314364,3.65892136794594,1.25845648991231,31.31432,50.4,1.96132790630271,"Apollo Medical Holdings, Inc.","2022-02-25 16:00:04",2805784832,1.613,5.1446323,55549100,"USD","2021-09-30",204768000,82152000,427212000,45942000,65414000,243353000,83594000,5779000,NA,871294000,33352000,24824000,95924000,116759000,339473000,44000,129859000,NA,305994000,NA,435897000,108950000,8800000,23051000,NA,207000,128558000,NA,183813000,"AMEH"
"162","AMGN",-5.4108457929146,1.59102101116218,0.355916643716148,22.084631,228.17,-41.9583187512078,"Amgen Inc.","2022-02-25 16:00:04",126462287872,10.28,18.91759,557028992,"USD","2021-12-31",7.989e+09,5.839e+09,1.9385e+10,1.666e+09,5.75e+09,1.489e+10,1.5182e+10,4.292e+09,NA,6.1165e+10,2.326e+09,8.534e+09,NA,1.2184e+10,5.4465e+10,3.2096e+10,-2.46e+10,-7.96e+08,NA,-7.96e+08,6.7e+09,-2.3372e+10,2e+08,1.366e+09,NA,8.7e+07,4.8e+07,4.086e+09,3.3222e+10,"AMGN"
"163","AMKR",1.96176775608686,1.7006033689838,0.931688045171441,8.931298,23.78,11.9280172026131,"Amkor Technology, Inc.","2022-02-25 16:00:03",5723967488,2.62,1.9430374,244614000,"USD","2021-12-31",826744000,1258767000,2856563000,NA,3030800000,24516000,NA,126675000,83596000,6038554000,368966000,263948000,30270000,1679735000,3066008000,290000,1163939000,-199087000,1977134000,19978000,2942276000,2917760000,34563000,828727000,NA,153008000,251530000,484959000,984988000,"AMKR"
"164","AMNB",1.56763306766447,0.177211450457977,0.174337582492814,9.65,38.61,24.6231076437262,"American National Bankshares, I","2022-02-25 16:00:03",415606176,4,1.1714008,10767000,"USD","2021-12-31",23095000,NA,519492000,692467000,35564000,85048000,4627000,1997399000,NA,3334597000,NA,20092000,NA,2931481000,2979805000,10710000,201380000,-5075000,147777000,-5075000,354792000,265117000,8481000,2890353000,NA,NA,487773000,143000,28232000,"AMNB"
"165","AMOT",13.005432137134,2.52275566089101,0.782989890555572,19.874645,34.85,2.68195640990577,"Allied Motion Technologies, Inc","2022-02-25 16:00:04",535641728,1.755,3.1602793,15356700,"USD","2021-09-30",19209000,55723000,157536000,NA,72319000,60583000,60643000,12529000,7188000,363610000,4482000,15944000,NA,62446000,201198000,43792000,126568000,-7948000,NA,-7948000,162412000,41186000,NA,35131000,NA,313000,NA,72239000,109682000,"AMOT"
"166","AMPG",1.02589901556326,35.6373135863417,22.8999342997874,NA,3.22,3.119215392017,"Amplitech Group, Inc.","2022-02-25 16:00:03",30662752,-0.359,0.976801,9582110,"USD","2021-09-30",22947873,489736,29452636,250000,1445467,120136,601511,26707,NA,31896457,212067,NA,NA,826455,1286145,9344,-3813843,NA,34414811,NA,30610312,29888665,NA,354728,NA,137394,4152589,948512,234341,"AMPG"
"167","AMPH",3.52090782231498,3.09903152394657,1.37096897982402,39.847645,56.79,8.1711881728183,"Amphastar Pharmaceuticals, Inc.","2022-02-25 16:00:02",1376618624,0.722,3.2091467,47849100,"USD","2021-09-30",106610000,78610000,303671000,4193000,271015000,3386000,35806000,33606000,21996000,651677000,22232000,22494000,NA,97989000,221501000,6000,160577000,-143324000,412917000,-6277000,430176000,390984000,2435000,21658000,NA,2256000,8021000,100240000,75081000,"AMPH"
"168","AMPL",7.82108557110407,3.91991654984381,3.78428175618073,NA,21.22,5.08350027720051,"Amplitude, Inc.","2022-02-25 16:00:03",2337886720,-1.46,7.6265707,58802200,"USD","2021-12-31",307445000,20444000,355117000,NA,4832000,4073000,3554000,32812000,NA,400388000,70275000,3247000,NA,90593000,93840000,1000,-179807000,NA,486354000,NA,306548000,298921000,8112000,3363000,20573000,NA,NA,NA,NA,"AMPL"
"169","AMRK",3.5862201147991,1.48028925794662,1.24420633965402,4.267046,70,19.6669471322395,"A-Mark Precious Metals, Inc.","2022-02-25 16:00:03",804719104,16.529,1.995699,11409600,"USD","2021-12-31",19352000,211297000,909694000,30904000,16502000,100943000,77889000,NA,NA,1135932000,207459000,16331000,1564000,614538000,731144000,115000,247269000,NA,155840000,NA,403224000,224392000,113348000,7447000,NA,NA,NA,558344000,93650000,"AMRK"
"170","AMRS",-5.51790483143188,0.604451477848039,0.462952356850784,NA,4.6,-0.83546207104326,"Amyris, Inc.","2022-02-25 16:00:03",1420981888,-1.506,-15.896553,308239008,"USD","2021-09-30",114887000,52339000,278064000,2472000,72109000,128692000,39662000,21308000,NA,542307000,42706000,115721000,30843000,460027000,600632000,31000,-2395506000,-52134000,2358441000,-52134000,-89168000,-257522000,15733000,80645000,3061000,305247000,NA,72062000,17099000,"AMRS"
"171","AMSC",4.04075752052631,1.83172863565323,1.52475867718154,NA,8.17,2.02437301679335,"American Superconductor Corpora","2022-02-25 16:00:04",232784000,-0.81,2.059416,28457700,"USD","2021-12-31",43887000,21049000,94933000,NA,17526000,43471000,11955000,7411000,1030000,175296000,31697000,7479000,NA,51827000,62261000,289000,-1015474000,-3935000,1132155000,-296000,113035000,57609000,2651000,10438000,NA,72000,NA,20942000,113000,"AMSC"
"172","AMSF",2.25489304648117,2.69533082284544,0.32527673382825,13.716814,59.8,20.6218207920843,"AMERISAFE, Inc.","2022-02-25 16:00:04",900430656,3.39,2.2526886,19364100,"USD","2021-12-31",70722000,135100000,326383000,1012571000,NA,NA,17059000,46711000,14384000,1402724000,121092000,882309000,NA,121092000,1003401000,399323000,NA,NA,NA,NA,399323000,399323000,120561000,NA,NA,NA,NA,NA,NA,"AMSF"
"173","AMST",2.16807702701503,11.322982839727,11.322982839727,NA,0.6975,0.306216078664475,"Amesite Inc.","2022-02-25 16:00:03",17088588,-0.422,1.5807143,25739700,"USD","2021-12-31",7750743,16595,8544889,NA,91671,NA,1347093,NA,NA,9983653,392568,NA,NA,754650,754650,2158,-24917489,NA,34144334,NA,9229003,7881910,NA,236322,NA,NA,NA,NA,NA,"AMST"
"174","AMSWA",7.19054353150094,2.86473001868583,2.69545594605862,61.111107,22.02,3.23552067482842,"American Software, Inc.","2022-02-25 16:00:04",736951616,0.36,5.629478,31676200,"USD","2022-01-31",98355000,27419000,148711000,NA,4813000,25888000,2502000,4136000,NA,186050000,42907000,2694000,NA,51911000,55171000,130879000,NA,NA,NA,NA,130879000,102489000,NA,3158000,2122000,NA,16463000,NA,NA,"AMSWA"
"175","AMTB",1.44732993446441,0.113373841501959,0.097839044469969,11.122924,33.48,23.1322520947342,"Amerant Bancorp Inc.","2022-02-25 16:00:03",1179540608,3.01,1.4396905,35231200,"USD","2021-12-31",274208000,NA,665944000,1293746000,37860000,19506000,NA,5621343000,11301000,7638399000,NA,NA,-2610000,5873877000,6806526000,3589000,553167000,15217000,262510000,15217000,834483000,814977000,382016000,5873877000,NA,NA,NA,9720000,932649000,"AMTB"
"176","AMTI",1.37315513462492,19.282881216605,9.60639877143588,NA,23.98,4.87199139507815,"Applied Molecular Transport Inc","2022-02-25 16:00:04",257495424,-2.426,1.3725892,38489600,"USD","2021-09-30",152455000,NA,187661000,NA,18318000,NA,NA,1077000,NA,207056000,222000,NA,NA,9732000,19535000,4000,-209442000,1000,396958000,1000,187521000,187521000,634000,1411000,NA,NA,30069000,NA,NA,"AMTI"
"177","AMTX",-2.9460579284449,0.228041016017693,0.0609627622979016,NA,11.7,-3.96801413049682,"Aemetis, Inc","2022-02-25 16:00:04",389156576,-2.187,-2.8821497,33289700,"USD","2021-09-30",6389000,1621000,17013000,NA,127487000,NA,NA,2479000,NA,146979000,17239000,1874000,NA,74605000,279072000,33000,-320346000,-4301000,192520000,-4301000,-132094000,-132094000,545000,13887000,NA,21950000,NA,4862000,199372000,"AMTX"
"178","AMWD",-8.38761749546489,1.98996112982638,0.456700827374241,NA,52.8,-6.28784038238702,"American Woodmark Corporation","2022-02-25 16:00:03",873880704,-2.591,1.1637247,16569600,"USD","2022-01-31",871000,159470000,383963000,NA,321602000,767612000,87528000,30980000,NA,1591685000,NA,41739000,NA,192950000,840732000,750953000,NA,NA,NA,NA,750953000,-104187000,19388000,168397000,NA,2250000,NA,204234000,506490000,"AMWD"
"179","AMZN",13.2896915521666,1.13575977394458,0.572361709362956,47.458263,3075.99,231.440284252148,"Amazon.com, Inc.","2022-02-25 16:00:04",1565087105024,64.81,11.32459,508844000,"USD","2021-12-31",3.622e+10,3.2649e+10,1.6158e+11,4.003e+09,2.16363e+11,1.5371e+10,5.107e+09,1.8125e+10,NA,4.20549e+11,1.8027e+10,1.7443e+10,NA,1.42266e+11,2.82304e+11,5e+06,8.5915e+10,-3.213e+09,5.5538e+10,-1.376e+09,1.38245e+11,1.17767e+11,2.42e+08,7.8664e+10,NA,1.687e+09,5.9829e+10,3.264e+10,5.4944e+10,"AMZN"
"180","ANAB",2.26500218973535,18.5094547369429,9.49355464433914,102.71242,37.9,13.8763668985375,"AnaptysBio, Inc.","2022-02-25 16:00:04",868872960,0.306,2.2493382,27644700,"USD","2021-09-30",336328000,761000,386644000,15242000,22191000,NA,NA,258000,NA,424335000,NA,NA,NA,20889000,40727000,27000,-289215000,-2e+05,672996000,-2e+05,383608000,383608000,60000,5717000,NA,NA,37736000,NA,NA,"ANAB"
"181","ANAT",0.75396380751017,0.623248502463301,0.0902320521618191,6.7321444,189.8,250.913892112232,"American National Group, Inc.","2022-02-25 16:00:03",5086520320,28.101,0.7536841,26887200,"USD","2021-09-30",504465000,425967000,2162380000,19140124000,133447000,NA,1448905000,7833613000,NA,30718469000,1800633000,20337746000,7442000,3469531000,23964655000,269000,6571202000,127159000,47742000,127159000,6746372000,6746372000,651229000,1668898000,NA,NA,536621000,NA,150378000,"ANAT"
"182","ANDE",1.88293641488966,1.44989005670393,1.01062444556898,14.302477,43.88,23.5954840143964,"The Andersons, Inc.","2022-02-25 16:00:04",1478865792,3.068,1.3695381,33286200,"USD","2021-09-30",216874000,735349000,2498394000,11066000,847930000,129342000,118690000,102720000,NA,3708142000,336569000,165411000,202577000,1723161000,2472129000,140000,679154000,-6017000,360159000,-3406000,1033436000,785404000,523936000,825923000,NA,113147000,NA,1017804000,552225000,"ANDE"
"183","ANEB",8.2147077943818,33.7339799179208,33.7339799179208,NA,7.15,0.852130085758591,"Anebulo Pharmaceuticals, Inc.","2022-02-25 16:00:03",163412192,-2.146,8.641975,23344600,"USD","2021-09-30",19207743,NA,20500342,NA,NA,NA,NA,NA,NA,20500342,NA,NA,NA,607706,607706,23345,-40197479,NA,60066770,NA,19892636,19892636,NA,493819,NA,NA,NA,NA,NA,"ANEB"
"184","ANGI",81.4513703686399,2.14655354340056,0.721942136478771,NA,6.95,0.532587178770527,"Angi Inc.","2022-02-25 16:00:02",3486607360,-0.14,3.0735166,80373696,"USD","2021-09-30",476625000,98538000,650981000,NA,116825000,917081000,198024000,192127000,NA,2075038000,60025000,1733000,15419000,303268000,901708000,521000,-35608000,-152551000,1345549000,4933000,1157911000,42806000,75818000,39491000,1200000,NA,NA,NA,494373000,"ANGI"
"185","ANGN",0.956542579905137,5.81706229800513,2.29808920001761,NA,2.82,2.15358937125499,"Angion Biomedica Corp.","2022-02-25 16:00:02",61710388,-4.004,0.95591646,29956500,"USD","2021-09-30",102736000,NA,104393000,862000,4652000,NA,NA,33000,NA,109940000,4048000,23774000,NA,17946000,45426000,304000,-230025000,-4283000,298518000,-73000,64514000,64514000,639000,7679000,NA,NA,NA,NA,NA,"ANGN"
"186","ANGO",13.7054966293506,2.52070176785611,1.09604967741397,NA,23.21,1.69348110763572,"AngioDynamics, Inc.","2022-02-25 16:00:04",898614592,-0.991,2.0981739,38716700,"USD","2021-08-31",35472000,35416000,131321000,NA,49906000,201491000,168893000,4152000,NA,555763000,74000,36048000,NA,52097000,119813000,379000,-138838000,-1971000,576380000,3743000,435950000,65566000,NA,22687000,NA,NA,NA,49305000,2.5e+07,"ANGO"
